"genus" "family" "order"
"Alstroemeria_ligtu" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_magnifica" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_pallida" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_paupercula" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_pelegrina" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_polyphylla" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_pulchra" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_recumbens" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_spathulata" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alstroemeria_werdermannii" "Alstroemeria" "Alstroemeriaceae" "Liliales"
"Alternanthera_albida" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_brasiliana" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_ficoidea" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_philoxeroides" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_polycephala" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_pumila" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_pungens" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Alternanthera_sessilis" "Alternanthera" "Amaranthaceae" "Caryophyllales"
"Althaea_cannabina" "Althaea" "Malvaceae" "Malvales"
"Althaea_hirsuta" "Althaea" "Malvaceae" "Malvales"
"Althaea_ludwigii" "Althaea" "Malvaceae" "Malvales"
"Althaea_officinalis" "Althaea" "Malvaceae" "Malvales"
"Altingia_chinensis" "Altingia" "Altingiaceae" "Saxifragales"
"Altingia_excelsa" "Altingia" "Altingiaceae" "Saxifragales"
"Altingia_obovata" "Altingia" "Altingiaceae" "Saxifragales"
"Altingia_yunnanensis" "Altingia" "Altingiaceae" "Saxifragales"
"Alvaradoa_amorphoides" "Alvaradoa" "Picramniaceae" "Picramniales"
"Alyogyne_hakeifolia" "Alyogyne" "Malvaceae" "Malvales"
"Alyogyne_huegelii" "Alyogyne" "Malvaceae" "Malvales"
"Alyogyne_pinoniana" "Alyogyne" "Malvaceae" "Malvales"
"Alysicarpus_glumaceus" "Alysicarpus" "Fabaceae" "Fabales"
"Alysicarpus_monilifer" "Alysicarpus" "Fabaceae" "Fabales"
"Alysicarpus_ovalifolius" "Alysicarpus" "Fabaceae" "Fabales"
"Alysicarpus_rugosus" "Alysicarpus" "Fabaceae" "Fabales"
"Alysicarpus_vaginalis" "Alysicarpus" "Fabaceae" "Fabales"
"Alyssoides_utriculata" "Alyssoides" "Brassicaceae" "Brassicales"
"Alyssum_akamasicum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_alpestre" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_alyssoides" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_argenteum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_bertolonii" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_caliacrae" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_chondrogynum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_constellatum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_contemptum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_cypricum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_damascenum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_dasycarpum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_desertorum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_fragillimum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_granatense" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_klimesii" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_linifolium" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_macrocalyx" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_meniocoides" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_minutum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_montanum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_mouradicum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_murale" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_muricatum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_ovirense" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_simplex" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_strigosum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_tortuosum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_troodi" "Alyssum" "Brassicaceae" "Brassicales"
"Alyssum_wulfenianum" "Alyssum" "Brassicaceae" "Brassicales"
"Alyxia_grandis" "Alyxia" "Apocynaceae" "Gentianales"
"Alyxia_oblongata" "Alyxia" "Apocynaceae" "Gentianales"
"Alyxia_reinwardtii" "Alyxia" "Apocynaceae" "Gentianales"
"Alyxia_ruscifolia" "Alyxia" "Apocynaceae" "Gentianales"
"Alyxia_sinensis" "Alyxia" "Apocynaceae" "Gentianales"
"Alyxia_spicata" "Alyxia" "Apocynaceae" "Gentianales"
"Alyxia_stellata" "Alyxia" "Apocynaceae" "Gentianales"
"Alzatea_verticillata" "Alzatea" "Penaeaceae" "Myrtales"
"Amaioua_corymbosa" "Amaioua" "Rubiaceae" "Gentianales"
"Amaioua_guianensis" "Amaioua" "Rubiaceae" "Gentianales"
"Amaioua_intermedia" "Amaioua" "Rubiaceae" "Gentianales"
"Amanoa_glaucophylla" "Amanoa" "Phyllanthaceae" "Malpighiales"
"Amanoa_gracillima" "Amanoa" "Phyllanthaceae" "Malpighiales"
"Amanoa_guianensis" "Amanoa" "Phyllanthaceae" "Malpighiales"
"Amanoa_oblongifolia" "Amanoa" "Phyllanthaceae" "Malpighiales"
"Amaranthus" "Amaranthus" "" NA
"Amaranthus_albus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_blitoides" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_blitum" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_californicus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_cannabinus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_caudatus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_crispus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_cruentus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_deflexus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_dubius" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_fimbriatus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_graecizans" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_hybridus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_hypochondriacus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_mitchellii" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_palmeri" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_powellii" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_retroflexus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_spinosus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_standleyanus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_thunbergii" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_tricolor" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_tuberculatus" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amaranthus_viridis" "Amaranthus" "Amaranthaceae" "Caryophyllales"
"Amasonia_campestris" "Amasonia" "Lamiaceae" "Lamiales"
"Amauriopsis_dissecta" "Amauriopsis" "Asteraceae" "Asterales"
"Ambavia_gerrardii" "Ambavia" "Annonaceae" "Magnoliales"
"Ambelania_acida" "Ambelania" "Apocynaceae" "Gentianales"
"Ambelania_duckei" "Ambelania" "Apocynaceae" "Gentianales"
"Ambelania_occidentalis" "Ambelania" "Apocynaceae" "Gentianales"
"Amberboa_amberboi" "Amberboa" "Asteraceae" "Asterales"
"Amberboa_glauca" "Amberboa" "Asteraceae" "Asterales"
"Amberboa_moschata" "Amberboa" "Asteraceae" "Asterales"
"Amblygonocarpus_andongensis" "Amblygonocarpus" "Fabaceae" "Fabales"
"Amblyolepis_setigera" "Amblyolepis" "Asteraceae" "Asterales"
"Amblyopappus_pusillus" "Amblyopappus" "Asteraceae" "Asterales"
"Amborella_trichopoda" "Amborella" "Amborellaceae" "Amborellales"
"Ambrosia_acanthicarpa" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_artemisiifolia" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_chamissonis" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_confertiflora" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_deltoidea" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_dumosa" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_eriocentra" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_monogyra" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_polystachya" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_psilostachya" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_salsola" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_tenuifolia" "Ambrosia" "Asteraceae" "Asterales"
"Ambrosia_trifida" "Ambrosia" "Asteraceae" "Asterales"
"Amburana_cearensis" "Amburana" "Fabaceae" "Fabales"
"Amelanchier_alnifolia" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_arborea" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_bartramiana" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_canadensis" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_interior" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_laevis" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_lamarckii" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_obovalis" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_ovalis" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_pallida" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_parviflora" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_sanguinea" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_sinica" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_spicata" "Amelanchier" "Rosaceae" "Rosales"
"Amelanchier_utahensis" "Amelanchier" "Rosaceae" "Rosales"
"Amellus_nanus" "Amellus" "Asteraceae" "Asterales"
"Amellus_tenuifolius" "Amellus" "Asteraceae" "Asterales"
"Amentotaxus_argotaenia" "Amentotaxus" "Taxaceae" "Pinales"
"Amentotaxus_formosana" "Amentotaxus" "Taxaceae" "Pinales"
"Amerosedum_lanceolatum" "Amerosedum" "Crassulaceae" "Saxifragales"
"Amesiodendron_chinense" "Amesiodendron" "Sapindaceae" "Sapindales"
"Amethystea_caerulea" "Amethystea" "Lamiaceae" "Lamiales"
"Amherstia_nobilis" "Amherstia" "Fabaceae" "Fabales"
"Amicia_zygomeris" "Amicia" "Fabaceae" "Fabales"
"Amischotolype_gracilis" "Amischotolype" "Commelinaceae" "Commelinales"
"Amischotolype_hispida" "Amischotolype" "Commelinaceae" "Commelinales"
"Amischotolype_mollissima" "Amischotolype" "Commelinaceae" "Commelinales"
"Ammannia_auriculata" "Ammannia" "Lythraceae" "Myrtales"
"Ammannia_baccifera" "Ammannia" "Lythraceae" "Myrtales"
"Ammannia_coccinea" "Ammannia" "Lythraceae" "Myrtales"
"Ammannia_diandra" "Ammannia" "Lythraceae" "Myrtales"
"Ammannia_multiflora" "Ammannia" "Lythraceae" "Myrtales"
"Ammannia_robusta" "Ammannia" "Lythraceae" "Myrtales"
"Ammannia_senegalensis" "Ammannia" "Lythraceae" "Myrtales"
"Ammi_majus" "Ammi" "Apiaceae" "Apiales"
"Ammi_visnaga" "Ammi" "Apiaceae" "Apiales"
"Ammobium_alatum" "Ammobium" "Asteraceae" "Asterales"
"Ammocalamagrostis_baltica" "Ammocalamagrostis" "Poaceae" "Poales"
"Ammoides_pusilla" "Ammoides" "Apiaceae" "Apiales"
"Ammophila_arenaria" "Ammophila" "Poaceae" "Poales"
"Ammophila_breviligulata" "Ammophila" "Poaceae" "Poales"
"Ammopiptanthus_mongolicus" "Ammopiptanthus" "Fabaceae" "Fabales"
"Ammoselinum_popei" "Ammoselinum" "Apiaceae" "Apiales"
"Amomum_compactum" "Amomum" "Zingiberaceae" "Zingiberales"
"Amomyrtella_guilii" "Amomyrtella" "Myrtaceae" "Myrtales"
"Amomyrtus_luma" "Amomyrtus" "Myrtaceae" "Myrtales"
"Amomyrtus_meli" "Amomyrtus" "Myrtaceae" "Myrtales"
"Amoreuxia_palmatifida" "Amoreuxia" "Bixaceae" "Malvales"
"Amoreuxia_wrightii" "Amoreuxia" "Bixaceae" "Malvales"
"Amorpha_californica" "Amorpha" "Fabaceae" "Fabales"
"Amorpha_canescens" "Amorpha" "Fabaceae" "Fabales"
"Amorpha_fruticosa" "Amorpha" "Fabaceae" "Fabales"
"Amorpha_glabra" "Amorpha" "Fabaceae" "Fabales"
"Amorpha_nana" "Amorpha" "Fabaceae" "Fabales"
"Amorphophallus_aphyllus" "Amorphophallus" "Araceae" "Alismatales"
"Ampacus_macrophylla" "Ampacus" "Rutaceae" "Sapindales"
"Ampacus_madagascariensis" "Ampacus" "Rutaceae" "Sapindales"
"Ampelocalamus_actinotrichus" "Ampelocalamus" "Poaceae" "Poales"
"Ampelocera_edentula" "Ampelocera" "Ulmaceae" "Rosales"
"Ampelocera_hottlei" "Ampelocera" "Ulmaceae" "Rosales"
"Ampelocera_longissima" "Ampelocera" "Ulmaceae" "Rosales"
"Ampelocera_macrocarpa" "Ampelocera" "Ulmaceae" "Rosales"
"Ampelocera_ruizii" "Ampelocera" "Ulmaceae" "Rosales"
"Ampelocera_verrucosa" "Ampelocera" "Ulmaceae" "Rosales"
"Ampelocissus_africana" "Ampelocissus" "Vitaceae" "Vitales"
"Ampelocissus_leonensis" "Ampelocissus" "Vitaceae" "Vitales"
"Ampelocissus_multistriata" "Ampelocissus" "Vitaceae" "Vitales"
"Ampelocissus_obtusata" "Ampelocissus" "Vitaceae" "Vitales"
"Ampelocissus_tomentosa" "Ampelocissus" "Vitaceae" "Vitales"
"Ampelodesmos_mauritanicus" "Ampelodesmos" "Poaceae" "Poales"
"Ampelopsis_aconitifolia" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_arborea" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_cantoniensis" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_cordata" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_delavayana" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_glandulosa" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_grossedentata" "Ampelopsis" "Vitaceae" "Vitales"
"Ampelopsis_humulifolia" "Ampelopsis" "Vitaceae" "Vitales"
"Amphiasma_benguellense" "Amphiasma" "Rubiaceae" "Gentianales"
"Amphiasma_luzuloides" "Amphiasma" "Rubiaceae" "Gentianales"
"Amphiasma_merenskyanum" "Amphiasma" "Rubiaceae" "Gentianales"
"Amphibolia_laevis" "Amphibolia" "Aizoaceae" "Caryophyllales"
"Amphibolia_rupis-arcuatae" "Amphibolia" "Aizoaceae" "Caryophyllales"
"Amphibolia_saginata" "Amphibolia" "Aizoaceae" "Caryophyllales"
"Amphibromus_nervosus" "Amphibromus" "Poaceae" "Poales"
"Amphicarpaea_bracteata" "Amphicarpaea" "Fabaceae" "Fabales"
"Amphicarpum_amphicarpon" "Amphicarpum" "Poaceae" "Poales"
"Amphiglossa_tomentosa" "Amphiglossa" "Asteraceae" "Asterales"
"Amphilophium_crucigerum" "Amphilophium" "Bignoniaceae" "Lamiales"
"Amphilophium_cynanchoides" "Amphilophium" "Bignoniaceae" "Lamiales"
"Amphilophium_paniculatum" "Amphilophium" "Bignoniaceae" "Lamiales"
"Amphilophium_pannosum" "Amphilophium" "Bignoniaceae" "Lamiales"
"Amphimas_ferrugineus" "Amphimas" "Fabaceae" "Fabales"
"Amphimas_pterocarpoides" "Amphimas" "Fabaceae" "Fabales"
"Amphipogon_caricinus" "Amphipogon" "Poaceae" "Poales"
"Amphipterygium_adstringens" "Amphipterygium" "Anacardiaceae" "Sapindales"
"Amphirrhox_longifolia" "Amphirrhox" "Violaceae" "Malpighiales"
"Amphiscirpus_nevadensis" "Amphiscirpus" "Cyperaceae" "Poales"
"Amphitecna_latifolia" "Amphitecna" "Bignoniaceae" "Lamiales"
"Amphitecna_tuxtlensis" "Amphitecna" "Bignoniaceae" "Lamiales"
"Amsinckia_douglasiana" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_eastwoodiae" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_grandiflora" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_lunaris" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_lycopsoides" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_menziesii" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_spectabilis" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_tessellata" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsinckia_vernicosa" "Amsinckia" "Boraginaceae" "Boraginales"
"Amsonia_orientalis" "Amsonia" "Apocynaceae" "Gentianales"
"Amyema_congener" "Amyema" "Loranthaceae" "Santalales"
"Amyema_linophylla" "Amyema" "Loranthaceae" "Santalales"
"Amyema_lucasii" "Amyema" "Loranthaceae" "Santalales"
"Amyema_maidenii" "Amyema" "Loranthaceae" "Santalales"
"Amyema_miquelii" "Amyema" "Loranthaceae" "Santalales"
"Amyema_pendula" "Amyema" "Loranthaceae" "Santalales"
"Amyris_balsamifera" "Amyris" "Rutaceae" "Sapindales"
"Amyris_elemifera" "Amyris" "Rutaceae" "Sapindales"
"Amyris_ignea" "Amyris" "Rutaceae" "Sapindales"
"Amyris_macrocarpa" "Amyris" "Rutaceae" "Sapindales"
"Amyris_madrensis" "Amyris" "Rutaceae" "Sapindales"
"Amyris_texana" "Amyris" "Rutaceae" "Sapindales"
"Amyxa_pluricornis" "Amyxa" "Thymelaeaceae" "Malvales"
"Anabasis_aphylla" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anabasis_articulata" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anabasis_brevifolia" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anabasis_jaxartica" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anabasis_salsa" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anabasis_syriaca" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anabasis_truncata" "Anabasis" "Amaranthaceae" "Caryophyllales"
"Anacamptis_coriophora" "Anacamptis" "Orchidaceae" "Asparagales"
"Anacamptis_laxiflora" "Anacamptis" "Orchidaceae" "Asparagales"
"Anacamptis_morio" "Anacamptis" "Orchidaceae" "Asparagales"
"Anacamptis_palustris" "Anacamptis" "Orchidaceae" "Asparagales"
"Anacamptis_papilionacea" "Anacamptis" "Orchidaceae" "Asparagales"
"Anacamptis_pyramidalis" "Anacamptis" "Orchidaceae" "Asparagales"
"Anacardium_excelsum" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacardium_giganteum" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacardium_humile" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacardium_occidentale" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacardium_parvifolium" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacardium_spruceanum" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacardium_tenuifolium" "Anacardium" "Anacardiaceae" "Sapindales"
"Anacolosa_pervilleana" "Anacolosa" "Olacaceae" "Santalales"
"Anacyclus_clavatus" "Anacyclus" "Asteraceae" "Asterales"
"Anacyclus_monanthos" "Anacyclus" "Asteraceae" "Asterales"
"Anadenanthera_colubrina" "Anadenanthera" "Fabaceae" "Fabales"
"Anadenanthera_peregrina" "Anadenanthera" "Fabaceae" "Fabales"
"Anadendrum_microstachyum" "Anadendrum" "Araceae" "Alismatales"
"Anagallis_arvensis" "Anagallis" "Primulaceae" "Ericales"
"Anagallis_arvensis_subsp._foemina" "Anagallis" "Primulaceae" "Ericales"
"Anagallis_minima" "Anagallis" "Primulaceae" "Ericales"
"Anagallis_monelli" "Anagallis" "Primulaceae" "Ericales"
"Anagallis_tenella" "Anagallis" "Primulaceae" "Ericales"
"Anagyris_foetida" "Anagyris" "Fabaceae" "Fabales"
"Ananas_comosus" "Ananas" "Bromeliaceae" "Poales"
"Ananthacorus_angustifolius" "Ananthacorus" "Pteridaceae" "Polypodiales"
"Anaphalioides_mariae" "Anaphalioides" "Asteraceae" "Asterales"
"Anaphalis_hellwigii" "Anaphalis" "Asteraceae" "Asterales"
"Anaphalis_lactea" "Anaphalis" "Asteraceae" "Asterales"
"Anaphalis_margaritacea" "Anaphalis" "Asteraceae" "Asterales"
"Anarrhinum_bellidifolium" "Anarrhinum" "Plantaginaceae" "Lamiales"
"Anarrhinum_orientale" "Anarrhinum" "Plantaginaceae" "Lamiales"
"Anarthria_laevis" "Anarthria" "Anarthriaceae" "Poales"
"Anarthrophyllum_gayanum" "Anarthrophyllum" "Fabaceae" "Fabales"
"Anastatica_hierochuntica" "Anastatica" "Brassicaceae" "Brassicales"
"Anaxagorea" "Anaxagorea" "" NA
"Anaxagorea_acuminata" "Anaxagorea" "Annonaceae" "Magnoliales"
"Anaxagorea_brevipes" "Anaxagorea" "Annonaceae" "Magnoliales"
"Anaxagorea_crassipetala" "Anaxagorea" "Annonaceae" "Magnoliales"
"Anaxagorea_dolichocarpa" "Anaxagorea" "Annonaceae" "Magnoliales"
"Anaxagorea_panamensis" "Anaxagorea" "Annonaceae" "Magnoliales"
"Anaxagorea_phaeocarpa" "Anaxagorea" "Annonaceae" "Magnoliales"
"Ancana_stenopetala" "Ancana" "Annonaceae" "Magnoliales"
"Anchomanes_difformis" "Anchomanes" "Araceae" "Alismatales"
"Anchonium_billardieri" "Anchonium" "Brassicaceae" "Brassicales"
"Anchusa_arvensis" "Anchusa" "Boraginaceae" "Boraginales"
"Anchusa_azurea" "Anchusa" "Boraginaceae" "Boraginales"
"Anchusa_calcarea" "Anchusa" "Boraginaceae" "Boraginales"
"Anchusa_capensis" "Anchusa" "Boraginaceae" "Boraginales"
"Anchusa_officinalis" "Anchusa" "Boraginaceae" "Boraginales"
"Anchusa_undulata" "Anchusa" "Boraginaceae" "Boraginales"
"Anchusa_variegata" "Anchusa" "Boraginaceae" "Boraginales"
"Ancistrocarphus_filagineus" "Ancistrocarphus" "Asteraceae" "Asterales"
"Ancistrocladus_tectorius" "Ancistrocladus" "Ancistrocladaceae" "Caryophyllales"
"Ancylobothrys_amoena" "Ancylobothrys" "Apocynaceae" "Gentianales"
"Andersonia_annelsii" "Andersonia" "Ericaceae" "Ericales"
"Andersonia_carinata" "Andersonia" "Ericaceae" "Ericales"
"Andersonia_echinocephala" "Andersonia" "Ericaceae" "Ericales"
"Andersonia_grandiflora" "Andersonia" "Ericaceae" "Ericales"
"Andersonia_heterophylla" "Andersonia" "Ericaceae" "Ericales"
"Andersonia_lehmanniana" "Andersonia" "Ericaceae" "Ericales"
"Andira_anthelmia" "Andira" "Fabaceae" "Fabales"
"Andira_coriacea" "Andira" "Fabaceae" "Fabales"
"Andira_fraxinifolia" "Andira" "Fabaceae" "Fabales"
"Andira_humilis" "Andira" "Fabaceae" "Fabales"
"Andira_inermis" "Andira" "Fabaceae" "Fabales"
"Andira_legalis" "Andira" "Fabaceae" "Fabales"
"Andira_macrothyrsa" "Andira" "Fabaceae" "Fabales"
"Andira_micrantha" "Andira" "Fabaceae" "Fabales"
"Andira_multistipula" "Andira" "Fabaceae" "Fabales"
"Andira_parviflora" "Andira" "Fabaceae" "Fabales"
"Andira_surinamensis" "Andira" "Fabaceae" "Fabales"
"Andira_trifoliolata" "Andira" "Fabaceae" "Fabales"
"Andira_unifoliolata" "Andira" "Fabaceae" "Fabales"
"Andrachne_telephioides" "Andrachne" "Phyllanthaceae" "Malpighiales"
"Androcymbium_europaeum" "Androcymbium" "Colchicaceae" "Liliales"
"Androcymbium_striatum" "Androcymbium" "Colchicaceae" "Liliales"
"Andromeda_glaucophylla" "Andromeda" "Ericaceae" "Ericales"
"Andromeda_polifolia" "Andromeda" "Ericaceae" "Ericales"
"Andropogon_bicornis" "Andropogon" "Poaceae" "Poales"
"Andropogon_distachyos" "Andropogon" "Poaceae" "Poales"
"Andropogon_fastigiatus" "Andropogon" "Poaceae" "Poales"
"Andropogon_gayanus" "Andropogon" "Poaceae" "Poales"
"Andropogon_gerardii" "Andropogon" "Poaceae" "Poales"
"Andropogon_glomeratus" "Andropogon" "Poaceae" "Poales"
"Andropogon_hallii" "Andropogon" "Poaceae" "Poales"
"Andropogon_pinguipes" "Andropogon" "Poaceae" "Poales"
"Andropogon_pseudapricus" "Andropogon" "Poaceae" "Poales"
"Andropogon_species" "Phacelurus" "Poaceae" "Poales"
"Andropogon_tectorum" "Andropogon" "Poaceae" "Poales"
"Andropogon_ternarius" "Andropogon" "Poaceae" "Poales"
"Andropogon_virginicus" "Andropogon" "Poaceae" "Poales"
"Andropogon_yunnanensis" "Andropogon" "Poaceae" "Poales"
"Androsace_adfinis" "Androsace" "Primulaceae" "Ericales"
"Androsace_akbaitalensis" "Androsace" "Primulaceae" "Ericales"
"Androsace_alpina" "Androsace" "Primulaceae" "Ericales"
"Androsace_brevis" "Androsace" "Primulaceae" "Ericales"
"Androsace_chamaejasme" "Androsace" "Primulaceae" "Ericales"
"Androsace_elongata" "Androsace" "Primulaceae" "Ericales"
"Androsace_hausmannii" "Androsace" "Primulaceae" "Ericales"
"Androsace_helvetica" "Androsace" "Primulaceae" "Ericales"
"Androsace_lactea" "Androsace" "Primulaceae" "Ericales"
"Androsace_laevigata" "Androsace" "Primulaceae" "Ericales"
"Androsace_maxima" "Androsace" "Primulaceae" "Ericales"
"Androsace_obtusifolia" "Androsace" "Primulaceae" "Ericales"
"Androsace_occidentalis" "Androsace" "Primulaceae" "Ericales"
"Androsace_ochotensis" "Androsace" "Primulaceae" "Ericales"
"Androsace_pubescens" "Androsace" "Primulaceae" "Ericales"
"Androsace_septentrionalis" "Androsace" "Primulaceae" "Ericales"
"Androsace_vandellii" "Androsace" "Primulaceae" "Ericales"
"Androsace_villosa" "Androsace" "Primulaceae" "Ericales"
"Androsace_wulfeniana" "Androsace" "Primulaceae" "Ericales"
"Androstachys_johnsonii" "Androstachys" "Picrodendraceae" "Malpighiales"
"Androstoma_empetrifolia" "Androstoma" "" NA
"Andryala_cossyrensis" "Andryala" "Asteraceae" "Asterales"
"Andryala_glandulosa" "Andryala" "Asteraceae" "Asterales"
"Andryala_integrifolia" "Andryala" "Asteraceae" "Asterales"
"Andryala_pinnatifida" "Andryala" "Asteraceae" "Asterales"
