"genus" "family" "order"
"Abutilon_fraseri" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_fruticosum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_glabriflorum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_grandifolium" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_greveanum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_hirtum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_incanum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_indicum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_lepidum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_leucopetalum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_longicuspe" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_mauritianum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_otocarpum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_palmeri" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_pannosum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_pseudocleistogamum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_pycnodon" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_ramosum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_sonneratianum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_sylvaticum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_theophrasti" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_trisulcatum" "Abutilon" "Malvaceae" "Malvales"
"Acacia_acinacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_acradenia" "Acacia" "Fabaceae" "Fabales"
"Acacia_acrionastes" "Acacia" "Fabaceae" "Fabales"
"Acacia_acuifera" "Acacia" "Fabaceae" "Fabales"
"Acacia_acuminata" "Acacia" "Fabaceae" "Fabales"
"Acacia_adoxa" "Acacia" "Fabaceae" "Fabales"
"Acacia_adsurgens" "Acacia" "Fabaceae" "Fabales"
"Acacia_adunca" "Acacia" "Fabaceae" "Fabales"
"Acacia_aestivalis" "Acacia" "Fabaceae" "Fabales"
"Acacia_alata" "Acacia" "Fabaceae" "Fabales"
"Acacia_alcockii" "Acacia" "Fabaceae" "Fabales"
"Acacia_alleniana" "Acacia" "Fabaceae" "Fabales"
"Acacia_amabilis" "Acacia" "Fabaceae" "Fabales"
"Acacia_amblygona" "Acacia" "Fabaceae" "Fabales"
"Acacia_amentacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_ammobia" "Acacia" "Fabaceae" "Fabales"
"Acacia_ampliceps" "Acacia" "Fabaceae" "Fabales"
"Acacia_anceps" "Acacia" "Fabaceae" "Fabales"
"Acacia_ancistrocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_anegadensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_aneura" "Acacia" "Fabaceae" "Fabales"
"Acacia_anfractuosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_angustissima" "Acacia" "Fabaceae" "Fabales"
"Acacia_anthochaera" "Acacia" "Fabaceae" "Fabales"
"Acacia_aphylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_argyrophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_aroma" "Acacia" "Fabaceae" "Fabales"
"Acacia_ascendens" "Acacia" "Fabaceae" "Fabales"
"Acacia_asepala" "Acacia" "Fabaceae" "Fabales"
"Acacia_aspera" "Acacia" "Fabaceae" "Fabales"
"Acacia_assimilis" "Acacia" "Fabaceae" "Fabales"
"Acacia_atkinsiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_aulacocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_auriculiformis" "Acacia" "Fabaceae" "Fabales"
"Acacia_ausfeldii" "Acacia" "Fabaceae" "Fabales"
"Acacia_baeuerlenii" "Acacia" "Fabaceae" "Fabales"
"Acacia_baileyana" "Acacia" "Fabaceae" "Fabales"
"Acacia_bakeri" "Acacia" "Fabaceae" "Fabales"
"Acacia_barringtonensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_beadleana" "Acacia" "Fabaceae" "Fabales"
"Acacia_beauverdiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_beckleri" "Acacia" "Fabaceae" "Fabales"
"Acacia_bellula" "Acacia" "Fabaceae" "Fabales"
"Acacia_berlandieri" "Acacia" "Fabaceae" "Fabales"
"Acacia_betchei" "Acacia" "Fabaceae" "Fabales"
"Acacia_bidwillii" "Acacia" "Fabaceae" "Fabales"
"Acacia_bifaria" "Acacia" "Fabaceae" "Fabales"
"Acacia_bilimekii" "Acacia" "Fabaceae" "Fabales"
"Acacia_binervata" "Acacia" "Fabaceae" "Fabales"
"Acacia_binervia" "Acacia" "Fabaceae" "Fabales"
"Acacia_bivenosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_blakei" "Acacia" "Fabaceae" "Fabales"
"Acacia_blakelyi" "Acacia" "Fabaceae" "Fabales"
"Acacia_boboensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_boormanii" "Acacia" "Fabaceae" "Fabales"
"Acacia_botrydion" "Acacia" "Fabaceae" "Fabales"
"Acacia_brachybotrya" "Acacia" "Fabaceae" "Fabales"
"Acacia_brachystachya" "Acacia" "Fabaceae" "Fabales"
"Acacia_brassii" "Acacia" "Fabaceae" "Fabales"
"Acacia_brevispica" "Acacia" "Fabaceae" "Fabales"
"Acacia_browniana" "Acacia" "Fabaceae" "Fabales"
"Acacia_brownii" "Acacia" "Fabaceae" "Fabales"
"Acacia_brumalis" "Acacia" "Fabaceae" "Fabales"
"Acacia_brunioides" "Acacia" "Fabaceae" "Fabales"
"Acacia_burbidgeae" "Acacia" "Fabaceae" "Fabales"
"Acacia_burrowii" "Acacia" "Fabaceae" "Fabales"
"Acacia_buxifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_caerulescens" "Acacia" "Fabaceae" "Fabales"
"Acacia_caesariata" "Acacia" "Fabaceae" "Fabales"
"Acacia_caesiella" "Acacia" "Fabaceae" "Fabales"
"Acacia_caffra" "Acacia" "Fabaceae" "Fabales"
"Acacia_calamifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_calcicola" "Acacia" "Fabaceae" "Fabales"
"Acacia_cambagei" "Acacia" "Fabaceae" "Fabales"
"Acacia_campylophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_cana" "Acacia" "Fabaceae" "Fabales"
"Acacia_cangaiensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_cardiophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_carens" "Acacia" "Fabaceae" "Fabales"
"Acacia_caroleae" "Acacia" "Fabaceae" "Fabales"
"Acacia_catechu" "Acacia" "Fabaceae" "Fabales"
"Acacia_caven" "Acacia" "Fabaceae" "Fabales"
"Acacia_celastrifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_cerastes" "Acacia" "Fabaceae" "Fabales"
"Acacia_chalkeri" "Acacia" "Fabaceae" "Fabales"
"Acacia_chapmanii" "Acacia" "Fabaceae" "Fabales"
"Acacia_chisholmii" "Acacia" "Fabaceae" "Fabales"
"Acacia_choriophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_chrysotricha" "Acacia" "Fabaceae" "Fabales"
"Acacia_chundra" "Acacia" "Fabaceae" "Fabales"
"Acacia_cincinnata" "Acacia" "Fabaceae" "Fabales"
"Acacia_citrinoviridis" "Acacia" "Fabaceae" "Fabales"
"Acacia_clydonophora" "Acacia" "Fabaceae" "Fabales"
"Acacia_cochliacantha" "Acacia" "Fabaceae" "Fabales"
"Acacia_cognata" "Acacia" "Fabaceae" "Fabales"
"Acacia_colei" "Acacia" "Fabaceae" "Fabales"
"Acacia_colletioides" "Acacia" "Fabaceae" "Fabales"
"Acacia_compacta" "Acacia" "Fabaceae" "Fabales"
"Acacia_complanata" "Acacia" "Fabaceae" "Fabales"
"Acacia_concurrens" "Acacia" "Fabaceae" "Fabales"
"Acacia_conferta" "Acacia" "Fabaceae" "Fabales"
"Acacia_confusa" "Acacia" "Fabaceae" "Fabales"
"Acacia_congesta" "Acacia" "Fabaceae" "Fabales"
"Acacia_constablei" "Acacia" "Fabaceae" "Fabales"
"Acacia_constricta" "Acacia" "Fabaceae" "Fabales"
"Acacia_continua" "Acacia" "Fabaceae" "Fabales"
"Acacia_coolgardiensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_coriacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_costiniana" "Acacia" "Fabaceae" "Fabales"
"Acacia_coulteri" "Acacia" "Fabaceae" "Fabales"
"Acacia_cowleana" "Acacia" "Fabaceae" "Fabales"
"Acacia_craspedocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_crassa" "Acacia" "Fabaceae" "Fabales"
"Acacia_crassicarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_crassiuscula" "Acacia" "Fabaceae" "Fabales"
"Acacia_creatacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_cremiflora" "Acacia" "Fabaceae" "Fabales"
"Acacia_crenulata" "Acacia" "Fabaceae" "Fabales"
"Acacia_cultriformis" "Acacia" "Fabaceae" "Fabales"
"Acacia_cuneifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_cupularis" "Acacia" "Fabaceae" "Fabales"
"Acacia_curranii" "Acacia" "Fabaceae" "Fabales"
