"la" "ln" "ph" "sla" "ssd" "sm"
"Andira_surinamensis" 2811.25 NA 11 14.79452043 0.700498809357143 NA
"Andira_trifoliolata" 700 NA NA NA NA NA
"Andira_unifoliolata" 700 18 NA NA 0.76 NA
"Andrachne_telephioides" 40.27333333 NA 0.175 9.831440146 NA NA
"Androcymbium_europaeum" NA NA NA NA NA 4.26
"Androcymbium_striatum" NA NA NA NA NA 1.08
"Andromeda_glaucophylla" 440 12.6388888888889 0.3 14.098574209875 NA 0.179
"Andromeda_polifolia" 46.36375 14.6907466666667 0.223125 7.28090825126667 0.31071 0.178640625
"Andropogon_bicornis" NA 5.2 NA NA NA NA
"Andropogon_distachyos" NA NA 0.6 NA NA 0.86
"Andropogon_fastigiatus" NA NA NA NA NA 0.44
"Andropogon_gayanus" NA 10.925 NA NA NA NA
"Andropogon_gerardii" 1011.80579711666 13.0377316283832 1.1746733560017 18.6988115108953 0.303011136142883 2.54030991666666
"Andropogon_glomeratus" NA NA 1.92024 NA NA 0.983087
"Andropogon_hallii" NA 10.8666666666667 1.85928 NA NA 3.95381666666667
"Andropogon_pinguipes" NA 2.525405405 NA NA NA NA
"Andropogon_pseudapricus" NA NA NA NA NA 1.75
"Andropogon_species" NA NA NA NA NA NA
"Andropogon_tectorum" NA NA NA NA NA 1.71
"Andropogon_ternarius" NA NA 1.18872 NA NA 1.82113988888889
"Andropogon_virginicus" 889.280341880342 13.3 0.578716666666667 16.1346288304186 0.345136126178033 0.388707666666667
"Andropogon_yunnanensis" NA 14.13666667 NA NA 0.424243898642667 NA
"Androsace_adfinis" NA NA 0.02408 NA 0.208606401904533 NA
"Androsace_akbaitalensis" 680 NA NA 25.57544757 NA NA
"Androsace_alpina" NA NA 0.035 15.9 NA NA
"Androsace_brevis" NA NA 0.03 NA NA NA
"Androsace_chamaejasme" NA NA 0.0325 NA NA 0.59
"Androsace_elongata" NA NA 0.015 NA NA NA
"Androsace_hausmannii" NA NA 0.025 NA NA NA
"Androsace_helvetica" NA NA 0.0366666666666667 NA NA NA
"Androsace_lactea" 114.45 NA 0.06 26.448 0.164701432 NA
"Androsace_laevigata" NA NA 0.06096 NA NA NA
"Androsace_maxima" 52.23216511 NA 0.0495833333333333 15.0087190705 0.274416319686667 1.27033333333333
"Androsace_obtusifolia" NA NA 0.0416666666666667 NA NA 0.73
"Androsace_occidentalis" NA NA NA NA NA 0.21
"Androsace_ochotensis" NA NA 0.05 NA NA NA
"Androsace_pubescens" NA NA 0.03 NA NA NA
"Androsace_septentrionalis" 28.3541952854545 19.4925 0.0557857142857143 21.1934879403333 0.153616391111111 0.17
"Androsace_vandellii" NA NA 0.04 NA NA 0.42
"Androsace_villosa" NA NA 0.0425 NA NA 1.075
"Androsace_wulfeniana" NA NA 0.03 NA NA NA
"Androstachys_johnsonii" NA NA NA NA 0.584606666666667 61.08
"Androstoma_empetrifolia" 2.848068 NA 0.19 9.8189059002 NA 2.4
"Andryala_cossyrensis" NA NA 0.8 NA NA NA
"Andryala_glandulosa" NA NA 0.4 NA NA NA
"Andryala_integrifolia" NA NA 0.396133095666667 24.12175293 NA 0.187916666666667
"Andryala_pinnatifida" NA NA 0.8 NA NA NA
"Andryala_ragusina" 525 NA 0.4 NA NA NA
"Aneilema_acuminatum" 403 NA NA NA NA 0.56
"Anemarrhena_asphodeloides" NA 17.9655833333333 0.32425 9.83946124 0.268604153290667 NA
"Anemocarpa_saxatilis" NA NA NA NA NA 0.39
"Anemone" NA NA NA NA NA NA
"Anemone_alpina" 2014.38 27.17 0.230294444444444 15.8433333333333 0.203810817777778 6.68
"Anemone_baldensis" NA NA 0.0784 NA NA NA
"Anemone_berlandieri" NA NA NA NA NA 0.64
"Anemone_canadensis" 2932 11 0.394715087 18.5300000016269 0.204223761383333 2.4685
"Anemone_cathayensis" NA 30.7 NA 17.7619893 NA NA
"Anemone_chinensis" NA 16.4 NA 12.490119945 NA NA
"Anemone_coronaria" 1125 NA 0.15 NA NA 0.525
"Anemone_cylindrica" NA 17.7477066333333 NA 15.2694579675 NA 1.23
"Anemone_decapetala" NA NA NA NA NA 0.3
"Anemone_deltoidea" NA NA NA NA NA 3.975
"Anemone_dichotoma" NA NA 0.4 NA 0.207430663525601 NA
"Anemone_drummondii" NA NA NA NA NA 5.7
"Anemone_halleri" NA NA 0.125 NA NA NA
"Anemone_hepatica" 6075 NA 0.2 NA NA 3
"Anemone_hortensis" NA NA 0.25 NA NA NA
"Anemone_hupehensis" 11857.52 18 NA 34.58212786 0.193764272248 0.65
"Anemone_montana" 597.03 30.70802945 0.17 15.7569645783436 0.2146477 2.36
"Anemone_multifida" NA NA 0.6096 NA NA 1.167218
"Anemone_narcissiflora" 4570.9925 29.50375 0.212395833333333 15.255 0.202327537929111 6.27584088888889
"Anemone_nemorosa" 2872.35 25.423 0.155489795918367 26.184125156 0.19251 2.187826675
"Anemone_obtusiloba" NA 20.8555555566667 NA NA 0.237137229575111 NA
"Anemone_occidentalis" NA NA NA NA NA 3.208
"Anemone_parviflora" NA 33.2 NA 19.0415741 NA 0.66
"Anemone_patens" 835.2366665 NA 0.20625 24.269844045 NA 1.96
"Anemone_pavoniana" 1274.34 20.82 NA 9.4986171486 NA NA
"Anemone_pratensis" 2612.288 NA 0.175 8.976 0.279801453333333 1.967
"Anemone_pulsatilla" 2122.81647058824 15 0.213333333333333 10.58 0.214689254117647 3.24726066666667
"Anemone_quinquefolia" 1600.21 15.2996732 0.277275432 36.3920774868004 0.157642857231333 1.133
"Anemone_ranunculoides" 1535.418 28.7 0.178333333333333 36.536 0.177230752 1.92275
"Anemone_rivularis" NA 21.7 NA NA 0.336493964305778 NA
"Anemone_rupicola" NA 25.9233193666667 NA 12.227764005 NA NA
"Anemone_sylvestris" 1643.99444444444 23.6 0.149285714285714 18.9938869004545 0.216666725333333 NA
"Anemone_trifolia" NA NA 0.2 NA NA NA
"Anemone_trullifolia" NA 22.5777777766667 NA NA 0.264052572545333 NA
"Anemone_vernalis" 581.934 25.44645 0.107083333333333 9.922 0.230311866666667 NA
"Anemone_vesicatoria" NA NA NA NA NA 16.02
"Anemone_virginiana" 6075 13.8 0.458 18.365523275 0.227608838229333 1.09062222216666
"Anemone_vitifolia" NA NA NA 16.67129758 NA 0.47
"Anemonella_thalictroides" 6075 NA NA NA NA NA
"Anemopaegma_chrysanthum" 8729 NA NA NA NA NA
"Anemopaegma_chrysoleucum" 2386.725034 NA NA NA NA NA
"Anemopaegma_orbiculatum" 4813 NA NA NA NA NA
"Anemopaegma_santaritense" 4744 NA NA 10.954094 NA NA
"Anemopsis_californica" NA NA 0.4286 NA NA 0.35825
"Anethum_graveolens" 916.327 NA 0.632857142857143 18.295 0.165665064 1.75
"Anetium_citrifolium" NA 19.05 NA 26.3138247738462 0.14940475279159 NA
"Angelica_ampla" NA NA NA NA NA 3.9
"Angelica_amurensis" 17256.25 NA 1 38.30271878 0.189182083562667 NA
"Angelica_archangelica" 17458.1178787879 21.3408873733333 0.493055555555556 18.707249325 0.180309954519407 3.92938888888889
"Angelica_arguta" NA NA 1.8288 NA NA 3.262664
"Angelica_atropurpurea" NA NA NA NA NA 4.14
"Angelica_breweri" NA NA NA NA NA 9.74
"Angelica_cartilaginomarginata" NA NA 1 NA NA NA
"Angelica_glauca" NA NA NA NA NA 5.72
"Angelica_gmelinii" NA NA 0.8 NA NA NA
"Angelica_grayi" 1360.75 NA 0.3657 11.972458 NA NA
"Angelica_hendersonii" NA NA NA NA NA 10.86
"Angelica_kingii" NA NA NA NA NA 2.72
"Angelica_lucida" NA NA NA NA NA 5.89
"Angelica_pachycarpa" NA NA NA NA NA 3.36
"Angelica_palustris" NA NA 0.6 NA NA NA
"Angelica_pubescens" NA NA NA NA NA 5.89
"Angelica_sylvestris" 28363.6525 28.722881266 0.892553571428572 31.2420778066667 0.222283880385333 2.10839352777778
"Angelica_tomentosa" NA NA NA NA NA 8.63
"Angianthus_preissianus" NA NA NA NA NA 0.04
"Angianthus_tomentosus" NA NA 0.372 26.576 NA 0.33
"Angiopteris_fokiensis" NA 40.49 NA NA NA NA
"Angiopteris_hokouensis" NA NA NA NA 0.1628436 NA
"Angiopteris_yunnanensis" NA NA NA NA 0.153305466666667 NA
"Angophora_bakeri" NA NA NA NA 0.589 NA
"Angophora_costata" 1536.156575 NA 20 3.307400283 0.782153333333333 16.1
"Angophora_euryphylla" NA NA NA NA NA 13.58
"Angophora_floribunda" NA NA 11 15.496835863 0.72512 13.6
"Angophora_hispida" 1898.9444445 NA NA 5.353828076 NA 22.97
"Angophora_leiocarpa" NA NA NA NA NA 12.47
"Angophora_melanoxylon" NA NA NA NA NA 7.86
"Angophora_subvelutina" NA NA NA NA 0.75768 7.26
"Angophora_woodsiana" NA NA NA NA 0.761985 26.79
"Anguloa_ruckeri" NA NA NA NA NA 4e-04
"Angylocalyx_pynaertii" 4410.534 NA NA NA NA NA
"Aniba_affinis" NA NA NA NA 0.52 NA
"Aniba_bracteata" 10948.72826 NA NA NA NA NA
"Aniba_burchellii" 6800 NA NA NA 0.52 NA
"Aniba_cylindriflora" 9500 NA NA NA 0.6695 NA
"Aniba_excelsa" 12460 NA NA NA 0.55104 NA
"Aniba_ferrea" 9500 14 NA NA NA NA
"Aniba_firmula" 4147.85 NA 20.9 NA 0.56 691.2
"Aniba_guianensis" 4219.85451676667 24.41907775 22 15.87170127875 0.52 NA
"Aniba_hostmanniana" 32703.194638 20.422906 18 11.74298092575 0.5418225 NA
"Aniba_hypoglauca" NA NA NA NA 0.541736666666667 NA
"Aniba_jenmanii" 9500 NA NA NA NA NA
"Aniba_kappleri" 9500 NA NA NA NA NA
"Aniba_panurensis" 5538.318107375 21.753764 12.125 11.2190198255 0.5422965615 NA
"Aniba_parviflora" NA NA NA NA 0.54 NA
"Aniba_perutilis" 9500 13.33 NA 6.34115409 0.5 NA
"Aniba_puchury-minor" 7865.06921866667 NA 20 NA 0.54 NA
"Aniba_riparia" 8710.524423125 28.594402 16 17.97322437 0.595 NA
"Aniba_rosaeodora" 29000 NA NA NA 0.732523809571429 NA
"Aniba_taubertiana" 10021.776029 23.2811948275 20 14.78297394 NA NA
"Aniba_terminalis" 6047.08070625 19.4136261666667 16.25 16.81528529 0.5390625 NA
"Aniba_williamsii" 7135 25.919714 22 7.656500974 0.6375051805 NA
"Anigozanthos_bicolor" NA NA NA NA NA 0.94
"Anigozanthos_flavidus" NA NA NA NA NA 0.69
"Anigozanthos_humilis" NA 35.46 NA 17.33973202 NA NA
"Anigozanthos_manglesii" NA NA NA NA NA 1.1
"Anigozanthos_pulcherrimus" NA NA NA NA NA 1.16
"Anigozanthos_rufus" NA NA NA NA NA 1.03
"Anigozanthos_viridis" NA NA NA NA NA 0.5
"Anisacanthus_quadrifidus" NA NA NA NA NA 11.08
"Anisacanthus_thurberi" NA NA 1.3716 NA NA NA
"Aniseia_martinicensis" NA NA NA NA NA 45.95
"Anisocapparis_speciosa" NA NA NA NA 0.6622 NA
"Anisocarpus_madioides" NA NA NA NA NA 0.9
"Anisocoma_acaulis" NA NA NA NA NA 1.527
"Anisodontea_scabrosa" NA NA NA NA NA 2.74
"Anisomeles_indica" NA NA NA NA NA 1.7
"Anisopappus_kirkii" NA NA NA NA NA 0.21
"Anisopappus_pinnatifidus" NA NA NA NA NA 0.17
"Anisopappus_smutsii" NA NA NA NA NA 2.04
"Anisophyllea_apetala" NA NA NA NA 0.77 NA
"Anisophyllea_beccariana" NA NA NA NA 0.67 NA
"Anisophyllea_boehmii" 2499.6 NA NA NA NA NA
"Anisophyllea_disticha" NA NA NA NA 0.695 330
"Anisophyllea_grandis" NA NA NA NA 0.72 NA
"Anisophyllea_laurina" NA NA NA NA 0.76223475 NA
"Anisophyllea_manausensis" 9500 NA NA NA 0.86 NA
"Anisophyllea_obtusifolia" NA NA NA NA 0.662854723 NA
"Anisopogon_avenaceus" 239.5435 NA 1.1 4.553251094 NA NA
"Anisoptera_aurea" NA NA NA NA 0.555 NA
"Anisoptera_costata" NA 26.8 NA NA 0.565 685
"Anisoptera_curtisii" NA NA NA NA 0.615 NA
"Anisoptera_grossivenia" NA NA NA NA 0.585 NA
"Anisoptera_laevis" NA NA NA NA 0.5175 NA
"Anisoptera_marginata" NA NA NA NA 0.53 550
"Anisoptera_megistocarpa" NA NA NA NA 0.573333333333333 2895
"Anisoptera_scaphula" NA NA NA NA 0.485 1250
"Anisoptera_thurifera" NA NA NA NA 0.5575 NA
"Anisosciadium_lanatum" NA NA NA NA NA 34.58
"Anisosciadium_orientale" NA NA NA NA NA 53.08
"Anisotes_sessiliflorus" 432.739 NA NA NA NA NA
"Anisotome_aromatica" 212.3388287 13.05216674 NA 7.343954012 0.23698689784 NA
"Ankyropetalum_gypsophiloides" NA NA NA NA NA 1.71
"Anneslea_fragrans" 3911.766706 10.09753466 NA 6.838752982 0.684081666666667 1250
"Annickia_chlorantha" NA NA NA NA 0.437182481857143 NA
"Annickia_polycarpa" NA NA NA NA 0.4818736585 NA
"Annona_acuminata" 1075.25 22.96638806 9.81 17.7810923409275 0.649923072 36
"Annona_amazonica" 9500 NA NA NA NA NA
"Annona_ambotay" 35094.225 20.15752316 15 21.92641899 NA NA
"Annona_annonoides" NA NA NA NA NA NA
"Annona_cacans" 5160 NA NA NA NA NA
"Annona_cherimola" NA NA 4 NA NA 351.04
"Annona_coriacea" NA 25.75625 NA 6.711 NA NA
"Annona_crassiflora" NA NA 4.09 NA 0.56 NA
"Annona_deminuta" 9500 NA NA NA NA NA
"Annona_duckei" 10509.986984 27.14566946 15 25.40943089 NA NA
"Annona_emarginata" 4465.04 NA 18.05 NA NA 171.6945923
"Annona_foetida" 9500 NA NA NA 0.572 NA
"Annona_glabra" 2920.894855 NA 12.6492 10.27 0.438333333333333 229
"Annona_hayesii" 6781.65175 NA 8.79 NA NA 62
"Annona_hypoglauca" 5486.841189125 NA 10 NA 0.38 444
"Annona_impressivenia" 9500 NA NA NA NA NA
"Annona_jahnii" NA NA NA NA NA 31.13
"Annona_montana" 7429.63057 NA 10 19.33953488 NA NA
"Annona_muricata" 9500 NA 6.096 NA 0.4 396
"Annona_neglecta" NA NA NA NA NA 133
"Annona_neosalicifolia" NA NA 11.9 21.16 NA NA
"Annona_neosericea" 5078.02 NA 30.88 NA 0.287835928 33.126389445
"Annona_papilionella" NA 26.7742857142857 NA 15.1162270828571 NA NA
"Annona_poeppigii" 9500 NA NA NA NA NA
"Annona_prevostiae" 10200 28.358423 21 12.31388323 NA NA
"Annona_purpurea" NA 28.1854207 NA 16.3450284 0.626158 897
"Annona_reticulata" NA 35.0438372 6.096 13.4176103 0.526390335 239.2
"Annona_rugulosa" NA NA 14.66 28.34 NA NA
"Annona_senegalensis" NA 16.6807251322222 NA NA NA 106.025
"Annona_spraguei" 12001.3333333333 24.03537929 18.77 13.3559758275 0.564286236 37
"Annona_squamosa" NA 27 6.096 18.21493625 0.617898666666667 260.383333333333
"Annona_symphyocarpa" 9500 NA NA NA NA NA
"Annona_tenuiflora" 9500 NA NA NA NA NA
"Anoda_crenatiflora" NA NA NA NA NA 2.57
"Anoda_cristata" NA NA NA NA NA 10
"Anodendron_affine" 1845 NA NA NA NA NA
"Anodendron_paniculatum" 8681 NA NA NA NA NA
"Anodendron_punctatum" NA 18.2 NA NA NA NA
"Anodopetalum_biglandulosum" NA NA NA NA 0.609522 NA
"Anogeissus_acuminata" NA NA NA NA 0.766666666666667 25.84
"Anogeissus_dhofarica" NA NA NA NA NA 7.91
"Anogeissus_latifolia" NA 14.0833333333333 NA 6.877579092 0.78 NA
"Anogeissus_leiocarpa" 1167.2805 20.668294315 3.674234614 14 0.8 6.5
"Anogeissus_pendula" NA NA NA NA 0.94 10.51
"Anogeissus_sericea" NA NA NA NA 0.74 NA
"Anogramma_leptophylla" NA NA 0.07 NA NA NA
"Anomospermum_chloranthum" NA NA NA NA NA 4200
"Anomospermum_grandifolium" 55000 NA NA NA 0.64 7800
"Anomospermum_reticulatum" 2350 15.9 NA 11.537702 NA NA
"Anonidium_mannii" 35673.5 NA NA NA 0.2912883175 NA
"Anonis_pusilla" NA NA NA NA NA 3.82
"Anopterus_glandulosus" 2321.42 8.506666667 NA 8.278145695 NA 0.95
"Anopterus_macleayanus" 8850.93333333333 NA NA NA NA NA
"Anopyxis_klaineana" NA NA NA NA 0.799771585727273 NA
"Anredera_cordifolia" 2015 NA NA NA NA NA
"Antennaria_alpina" 33.39259259 18.5025 0.064025 15.84154952 NA NA
"Antennaria_anaphaloides" NA NA 0.762 NA NA 0.0647
"Antennaria_canescens" NA NA 0.05 NA NA NA
"Antennaria_carpatica" 19 NA 0.0833333333333333 15.2 0.264747333333333 0.08
"Antennaria_corymbosa" NA NA 0.3048 NA NA 0.0615666666666667
"Antennaria_dimorpha" NA NA 0.0762 NA NA 0.0647
"Antennaria_dioca" NA NA NA NA NA NA
"Antennaria_dioica" 81.312966458393 13.725 0.0794821428571429 18.5546982469583 0.235575275120404 0.0488571428571429
"Antennaria_flagellaris" NA NA NA NA NA 0.37
"Antennaria_lanata" NA NA NA NA NA 0.018
"Antennaria_luzuloides" NA NA 0.6096 NA NA 0.0682333333333333
"Antennaria_microphylla" NA NA 0.3048 NA NA 0.056612
"Antennaria_monocephala" NA NA NA NA NA 0.09
"Antennaria_neglecta" NA 15.44225 0.3048 17.56020646 NA 0.078207
"Antennaria_parlinii" NA NA NA NA NA NA
"Antennaria_parvifolia" 77.9902777777778 13.4608333333333 0.0183 12.7419686664762 0.239464266666667 0.067
"Antennaria_plantaginifolia" 414 NA NA 23.5361552 0.194187448365333 0.09
"Antennaria_pulchella" NA NA NA NA NA 0.074
"Antennaria_pulcherrima" NA NA NA NA NA 0.08
"Antennaria_racemosa" NA NA NA NA NA 0.18
"Antennaria_rosea" 450.05 NA 0.10210625 22.7992758325 0.283858337344526 0.06
"Antennaria_rosea_subsp._confinis" NA NA NA NA NA NA
"Antennaria_rosulata" 29.3566666666667 15.91028549 0.01215 18.66107944 0.2534208 0.073
"Antenoron_filiforme" NA NA NA NA NA 2.59
"Anthemis_arvensis" 459.068571428571 17.01 0.302533229111111 30.9775417364286 0.139502224761904 0.699091473214286
"Anthemis_bornmuelleri" NA NA NA NA NA 0.26
"Anthemis_cotula" 1745 32.813474654 0.404766666666667 20.98625 0.153244369382133 0.42952
"Anthemis_cretica" 154.76 24.44 0.225 13.9600000004579 0.18495 0.44
"Anthemis_hyalina" NA NA NA NA NA 0.56
"Anthemis_maritima" 100.1 NA 0.22115 10.4 0.149027333333333 1.02
"Anthemis_pauciloba" NA NA NA NA NA 0.95
"Anthemis_rigida" NA NA 0.05 NA NA NA
"Anthemis_ruthenica" 331.26 NA 0.4125 31.156 0.167997464888889 NA
"Anthemis_sancti-johannis" NA NA NA NA NA 0.6
"Anthemis_secundiramea" NA NA 0.3 NA NA NA
"Anthemis_triumfetti" NA NA NA NA NA 0.26
"Anthephora_pubescens" NA NA NA NA NA 1.86
"Anthephora_schinzii" NA NA NA NA NA 7.09
"Anthericum_liliago" 3335.91 NA 0.416666666666667 17.98 0.162898304 5.56125
"Anthericum_ramosum" 1051.095 12.01549499 0.469642857142857 20.85425 0.162852016 3.13633333333333
"Antherotoma_decandra" NA NA NA NA NA 0.03
"Antherotoma_naudinii" NA NA NA NA NA 0.02
"Anthocercis_intricata" NA NA NA NA NA 0.55
"Anthocercis_littorea" NA 19.240416665 NA 8.479725236 NA 0.58
"Anthocleista_djalonensis" NA NA NA NA NA 1.71
"Anthocleista_grandiflora" 21143.73333 NA NA NA 0.5779688365 2.5
"Anthocleista_longifolia" NA NA NA NA NA 2.5
"Anthocleista_nobilis" NA NA NA NA 0.499352096666667 NA
"Anthodiscus_amazonicus" 2468.4 18.58180758 NA 27.21214048 0.715 NA
"Anthodiscus_klugii" 3555.99836816667 18.68265 20 NA NA NA
"Anthodiscus_peruanus" 1224.96456066667 NA 30 NA 0.665 NA
"Anthodiscus_pilosus" 2209.043024 NA 35 NA 0.69 NA
"Anthodon_panamense" 2067.400552 NA NA NA NA 81
"Anthonotha_ferruginea" 2191.39 NA NA NA NA NA
"Anthonotha_fragrans" 8076.715 19.2 NA NA 0.529142639 NA
"Anthonotha_graciliflora" NA 24.0333333333333 NA NA NA NA
"Anthonotha_macrophylla" 6852.1975 27.15 NA NA 0.841702362666667 NA
"Anthospermum_aethiopicum" 4.708 NA 1.2 9.9124841422 NA 0.49
"Anthospermum_galpinii" NA NA NA NA NA 0.61
"Anthospermum_hispidulum" NA NA NA NA NA 0.4
"Anthospermum_rigidum" NA NA NA NA NA 0.96
"Anthostema_aubryanum" NA NA NA NA 0.329599835 NA
"Anthostema_madagascariense" NA NA NA NA 0.4876452215 NA
"Anthotium_junciforme" NA NA NA NA NA 0.07
"Anthoxanthum_aristatum" 368.26 NA 0.269848484848485 30.752 0.206145322666667 0.224905
"Anthoxanthum_odoratum" 313.455543335987 18.1274153463524 0.29381589114011 27.065249408713 0.268886246310612 0.517366666666667
"Anthoxanthum_odoratum_subsp._nipponicum" NA NA NA NA NA NA
"Anthriscus_caucalis" 3551.020625 NA 0.48875 35.495 0.174821496666667 1.37073333333333
"Anthriscus_cerefolium" 1872.75 NA 0.498571428571429 50.945 0.17769784 1.96
"Anthriscus_nitida" 8357.904 NA 0.7625 22.041 0.200309177333333 NA
"Anthriscus_sylvestris" 9079.73375005555 27.5764901241667 0.740166666666667 33.6016839097619 0.188939879615556 4.1436587012987
"Anthurium" NA NA NA NA NA NA
"Anthurium_acutangulum" NA 10.9 NA 16.1675672038462 0.168425364194 NA
"Anthurium_bakeri" NA NA NA NA NA 6.72
"Anthurium_brownii" NA 10.9583333333333 NA 13.4749031918182 0.250648674659733 NA
"Anthurium_clavigerum" NA 25.05 NA 34.3447755083333 0.133658606485091 NA
"Anthurium_durandii" NA 7.65 NA 7.9689362282 0.2009633184376 NA
"Anthurium_friedrichsthalii" NA 10.8828703703704 NA 13.6416113592 0.1670520337396 NA
"Anthurium_hacumense" NA 11.875 NA 16.1237203708333 0.131049279098 NA
"Anthurium_scandens" NA 7.66666666666667 NA 9.73877017158333 0.196411720369333 NA
"Anthyllis_alpestris" NA NA 0.2 NA NA NA
"Anthyllis_barba-jovis" NA NA 2 NA NA 4.38
"Anthyllis_cornicina" NA NA NA NA NA 1.7
"Anthyllis_cytisoides" 600 NA 1.18333333333333 NA NA 2.25133333333333
"Anthyllis_hermanniae" 125 20.5 1 NA NA NA
"Anthyllis_lotoides" NA 32.55 0.072554924 26.15092768 NA 1.21055566666667
"Anthyllis_montana" 346 24.1 0.144316666666666 12.5878180709617 0.243267674 2.94
"Anthyllis_terniflora" NA NA 0.8 NA NA NA
"Anthyllis_vulneraria" 1217.48 28.35608 0.275270833333333 15.2871183335416 0.178556995769624 2.44722854761905
"Anthyllis_vulneraria_subsp._polyphylla" NA NA NA NA NA NA
"Antiaris_toxicaria" 8268.516174 27.2785701225 NA 10.89416961 0.383069275263158 690.586666666667
"Anticharis_imbricata" NA NA NA NA NA 0.03
"Anticharis_inflata" NA NA NA NA NA 0.07
"Anticharis_scoparia" NA NA NA NA NA 0.11
"Anticharis_senegalensis" NA NA NA NA NA NA
"Anticlea_elegans" 1212.14 NA 0.1618 2.896062479 NA 0.52
"Antidesma_acidum" 4681 14.933 NA 13.12429907 NA NA
"Antidesma_bunius" NA 15.1 NA NA 0.6292 NA
"Antidesma_celebicum" NA NA NA NA 0.59 NA
"Antidesma_coriaceum" NA NA NA NA 0.72 NA
"Antidesma_cuspidatum" NA NA NA NA 0.8 17
"Antidesma_erostre" NA NA NA NA 0.73185 NA
"Antidesma_ghaesembilla" NA NA NA NA 0.61 NA
"Antidesma_japonicum" 6339.68333333333 11.7917311486667 3 21.51013811 NA 6.4
"Antidesma_madagascariense" NA NA NA NA NA 13.42
"Antidesma_membranaceum" 3356.895714 NA NA NA NA 28.09
"Antidesma_montanum" 7497.165504 18.25 0.8 21.74471208 0.59 NA
"Antidesma_platyphyllum" NA 21.5 NA NA NA NA
"Antidesma_pleuricum" NA NA NA NA 0.624225 NA
"Antidesma_pulvinatum" NA 14.6 NA 13.958 NA NA
"Antidesma_rufescens" NA NA NA NA NA 23.69
"Antidesma_subcordatum" NA NA NA NA 0.68 NA
"Antidesma_tetrandrum" NA NA NA NA NA NA
"Antidesma_venosum" 1846.05 18.66121097 NA 9.350450114 NA 44.85
"Antidesma_vogelianum" 5899.4425 NA NA NA NA NA
"Antigonon_leptopus" NA NA NA NA NA 70.5
"Antimima_dolomitica" NA NA NA NA NA 23.13
"Antimima_eendornensis" NA NA NA NA NA 10.64
"Antimima_longipes" NA NA NA NA NA 19.77
"Antimima_mucronata" NA NA NA NA NA 0.15
"Antimima_perforata" NA NA NA NA NA 22.1
"Antimima_viatorum" NA NA NA NA NA 19.48
"Antirrhinum_australe" NA NA 0.4 NA NA NA
"Antirrhinum_charidemi" NA NA 0.4 NA NA 0.06
"Antirrhinum_hispanicum" NA NA 0.2 NA NA NA
"Antirrhinum_latifolium" NA NA 0.575 NA NA NA
"Antirrhinum_leptaleum" NA NA NA NA NA 0.122
"Antirrhinum_majus" 309.5 NA 0.423660714285715 17.2 NA 0.170986666666667
"Antirrhinum_nuttallianum" NA NA NA NA NA 0.035
"Antirrhinum_sempervirens" NA NA 0.4 NA NA NA
"Antirrhinum_siculum" NA NA 0.4 NA NA 0.1
"Antirrhinum_vexillocalyculatum" NA NA NA NA NA 0.124
"Antonia_ovata" 2746.6666665 18.228364 40 7.698072679 0.467386666666667 NA
"Antrocaryon_amazonicum" 3000 NA NA NA 0.45 NA
"Antrocaryon_klaineanum" NA NA NA NA 0.5261584172 NA
"Antrocaryon_micraster" NA NA NA NA 0.487723455666667 NA
"Antrocaryon_nannanii" NA NA NA NA 0.48216 NA
"Antrophyum_lanceolatum" NA 13.4 NA 19.6256422353846 0.406701880752615 NA
"Aoranthe_cladantha" NA NA NA NA 0.806440014 NA
"Aotus_ericoides" 15.7 23.863985 NA NA NA 4
"Aotus_lanigera" NA NA NA NA NA 2.77
"Aotus_mollis" NA NA NA NA NA 4.4
"Aotus_subglauca" NA NA NA NA NA 3.69
"Aotus_subspinescens" NA NA NA NA NA 2.96
"Aparisthmium_cordatum" 28106.5019317333 32.0112257993311 17.975 31.55276093 0.388725 30.1
"Apatesia_helianthoides" NA NA NA NA NA 1.04
"Apeiba_albiflora" 9500 NA NA NA 0.245436 NA
"Apeiba_glabra" 6779.05711971875 19.9333858492063 28.7025 11.4980424315714 0.307090786966667 15.4666666666667
"Apeiba_intermedia" NA NA NA NA 0.26 NA
"Apeiba_macropetala" 5600 NA NA NA NA NA
"Apeiba_membranacea" 8692.24674605556 24.2587594518667 28.37 23.78942842375 0.265 21
"Apeiba_petoumo" 7777.61111058333 19.69803525 25.5 14.139826835 0.3174 185
"Apeiba_tibourbou" 26037.0277975 24.564268061 19.0638888888889 21.47022341 0.17496432 11
"Apera_interrupta" 175.245714285714 NA 0.292142857142857 35.2777777777778 0.229480285714286 0.095
"Apera_spica-venti" 536.75 NA 0.709528439153439 38.2131106535714 0.225472666666667 0.10275
"Apetahia_raiateensis" NA NA 2 NA NA NA
"Aphalis_margaritaceae" NA NA NA NA NA NA
"Aphanamixis_polystachya" NA 17.95 NA 24.63054187 0.576561666666667 NA
"Aphananthe_aspera" 673.791666666667 23.8212757875 20 31.44533971 0.58 NA
"Aphananthe_cuspidata" 3643.1737835 NA 16 NA 0.585 92
"Aphananthe_monoica" NA NA 35 NA NA NA
"Aphananthe_philippinensis" 600 NA NA NA 0.577146889 NA
"Aphanes_arvensis" 35 16.460073 0.056875 17.7 0.233888666666667 0.194833333333333
"Aphanes_australis" 114.861428571429 NA 0.144642857142857 30.4436363636364 0.191772041481482 0.2912
