"la" "ln" "ph" "sla" "ssd" "sm"
"Abutilon_hirtum" NA NA NA NA NA 4.34
"Abutilon_incanum" 432.25797005 34.94 NA 27.160312076 NA 3.7
"Abutilon_indicum" NA 31.205 2 NA NA 4.635
"Abutilon_lepidum" NA NA NA NA NA 2.07
"Abutilon_leucopetalum" NA NA NA NA NA 2.48
"Abutilon_longicuspe" NA NA NA NA NA 4
"Abutilon_mauritianum" NA NA NA NA NA 3.39
"Abutilon_otocarpum" 479.503911111111 NA 0.45 12.978143268 NA 1.8825
"Abutilon_palmeri" NA NA 0.8 NA NA NA
"Abutilon_pannosum" NA NA NA NA NA 3.71
"Abutilon_pseudocleistogamum" NA NA NA NA NA 2.63
"Abutilon_pycnodon" NA NA NA NA NA 3.49
"Abutilon_ramosum" NA NA NA NA NA 3.15
"Abutilon_sonneratianum" NA NA NA NA NA 2.94
"Abutilon_sylvaticum" NA NA NA NA NA 8.51
"Abutilon_theophrasti" 15964.06 43.91625 1.5 26.9490196066667 0.21162684 7.12740833333333
"Abutilon_trisulcatum" NA NA NA NA NA 2.7
"Acacia_acinacea" NA NA NA NA NA 10.9
"Acacia_acradenia" 1000 NA NA NA 0.90405 7.6
"Acacia_acrionastes" NA NA NA NA NA 20.42
"Acacia_acuifera" NA NA NA NA NA 15.31
"Acacia_acuminata" 73.816 NA 1.5 10.4805526035 0.9514243335 18.1183333333334
"Acacia_adoxa" NA NA NA NA NA 7.31
"Acacia_adsurgens" 300 NA NA NA 0.88683 7.49
"Acacia_adunca" NA NA NA NA NA 29.705
"Acacia_aestivalis" NA NA NA NA NA 111.09
"Acacia_alata" NA NA NA NA NA 7.3511
"Acacia_alcockii" NA NA NA NA NA 18.15
"Acacia_alleniana" NA NA NA NA 0.55965 NA
"Acacia_amabilis" NA NA NA NA NA 181.81
"Acacia_amblygona" NA NA NA NA NA 10
"Acacia_amentacea" 30.86666667 NA NA NA NA 24.65
"Acacia_ammobia" 750 NA NA NA NA 8
"Acacia_ampliceps" NA NA NA NA 0.56826 26.5
"Acacia_anceps" NA NA NA NA NA 14.6916
"Acacia_ancistrocarpa" NA NA NA NA NA 36.67
"Acacia_anegadensis" NA NA NA NA NA 19.83
"Acacia_aneura" 318.402446175238 20.4791345357941 9.8 6.01548349678 0.9770338 15.6079666666667
"Acacia_anfractuosa" NA NA NA NA NA 3.75
"Acacia_angustissima" NA NA NA NA NA 9.8875
"Acacia_anthochaera" NA NA NA NA NA 14.97
"Acacia_aphylla" NA NA NA NA NA 16.24
"Acacia_argyrophylla" NA NA NA NA NA 58.76
"Acacia_aroma" 17 32.48464207 2.031110504 8.17953476802046 0.8084 55.79
"Acacia_ascendens" NA NA NA NA NA 5.61
"Acacia_asepala" NA NA NA NA NA 4.68
"Acacia_aspera" NA NA NA NA NA 13.1
"Acacia_assimilis" NA NA NA NA NA 2.3
"Acacia_atkinsiana" NA NA NA NA 0.89 10.23
"Acacia_aulacocarpa" NA NA NA NA 0.644303990428571 19
"Acacia_auriculiformis" 4000 24.0840719955 30 9.5 0.51 20.0141666666667
"Acacia_ausfeldii" NA NA NA NA NA 11.67
"Acacia_baeuerlenii" NA NA NA NA NA 30.65
"Acacia_baileyana" NA NA NA NA NA 21.8
"Acacia_bakeri" 1625 NA NA NA 0.770595 39.79
"Acacia_barringtonensis" NA NA NA NA NA 11.81
"Acacia_beadleana" NA NA NA NA NA 13.88
"Acacia_beauverdiana" NA NA NA NA NA 2.87
"Acacia_beckleri" NA 25.7 NA NA NA 17.8
