"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Agoseris_glauca" "Temperate" "non-woody/woody" "NA" "NA" 0.052573501 NA NA -0.266780647
"Agrimonia_pilosa" "NA" "non-woody" "NA" "NA" 0.318739868 -0.075859029 0.208622707 0.356214651
"Agriophyllum_squarrosum" "Arid" "non-woody" "NA" "NA" 0.223143969 NA NA -0.037259001
"Agropyron_cristatum" "Continental" "non-woody" "NA" "NA" -0.024583767 -0.853867135 NA -0.58019733
"Agropyron_desertorum" "NA" "non-woody" "NA" "NA" 0.577983966 NA NA 0.061798119
"Agropyron_michnoi" "Arid" "non-woody" "NA" "NA" 0.819951943 NA NA NA
"Agropyron_mongolicum" "Continental" "non-woody" "NA" "NA" -0.008373893 NA NA -0.298044736
"Agrostis_capillaris" "Temperate" "non-woody" "NA" "NA" 0.545575576 -0.793775033 0.061741514 0.774635436
"Agrostis_scabra" "NA" "non-woody" "NA" "NA" 0.272636878 -0.663425751 0.442830898 0.255118206
"Agrostis_stolonifera" "NA" "non-woody" "NA" "NA" 0.371774059 -0.420119716 -0.028309372 0.295959761
"Aidia_oxyodonta" "Temperate" "woody" "AM" "NA" 0.379273449 -1.09237322 1.136069811 NA
"Ailanthus_altissima" "NA" "woody" "NA" "NA" -0.933112724 NA NA -0.073144586
"Aira_elegantissima" "NA" "non-woody" "NA" "NA" 1.447152838 -0.688061616 NA NA
"Ajania_potaninii" "Temperate" "woody" "NA" "NA" 0.550340108 NA NA -0.583008243
"Ajuga_genevensis" "NA" "non-woody" "NA" "NA" 0.048483038 0.360962557 -0.853506962 NA
"Ajuga_reptans" "NA" "non-woody" "NA" "NA" -0.075204345 0.714717051 -1.077970173 0.273514555
"Akebia_quinata" "Temperate" "woody" "NA" "NA" 0.19627772 NA NA -0.299585839
"Alangium_chinense" "Tropical" "woody" "AM" "NA" 1.059851692 -2.111016169 0.373993553 0.045959869
"Alchemilla_alpina" "Temperate" "non-woody" "NA" "NA" 0.062538649 -0.10884223 NA -0.179828235
"Alchornea_tiliifolia" "Temperate" "woody" "AM" "NA" 0.779142469 -0.723894605 -0.224689634 NA
"Alchornea_trewioides" "NA" "woody" "AM" "NA" -0.012532166 -0.05561631 0.131960768 0.631463784
