"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Cirsium_vulgare" "NA" "non-woody" "NA" "NA" -0.058837081 0.211767795 -0.35267316 NA
"Cirsium_wheeleri" "Temperate" "non-woody" "NA" "NA" -0.645153152 NA NA -0.480520825
"Cistus_albidus" "Arid" "woody" "NA" "NA" -0.344848727 0.035959252 0.305612043 NA
"Cistus_crispus" "Temperate" "woody" "NA" "NA" 0.150531308 0.065435284 -0.022296073 NA
"Cistus_ladanifer" "Temperate" "woody" "NA" "NA" -0.05514771 -0.108208255 0.543884421 NA
"Cistus_libanotis" "Temperate" "woody" "NA" "NA" 0.023102963 0.018128679 0.386991619 NA
"Cistus_monspeliensis" "Temperate" "woody" "NA" "NA" -0.008774565 0.40874085 -0.004452006 NA
"Cistus_salviifolius" "Temperate" "woody" "NA" "NA" -0.032074227 0.086902044 0.333103314 NA
"Citrus_aurantium" "Temperate" "woody" "NA" "NA" -0.296282455 0.223139501 NA NA
"Citrus_jambhiri" "Temperate" "woody" "NA" "NA" NA -0.098181166 NA NA
"Citrus_reshni" "NA" "woody" "NA" "NA" -0.121455201 0.185784432 NA NA
"Citrus_volkameriana" "Temperate" "woody" "NA" "NA" -0.071893862 0.082264146 -0.00302659 NA
"Clausena_lansium" "Tropical" "woody" "NA" "NA" 0.134999223 -0.329424201 0.435523506 0.729752322
"Cleistogenes_songorica" "Arid" "non-woody" "NA" "NA" 0.426126719 NA NA -1.341907604
"Cleistogenes_squarrosa" "Continental" "non-woody" "NA" "NA" 0.427136788 -0.549443836 NA -0.763600616
"Clematis_hexapetala" "Arid" "woody" "NA" "NA" -0.620700335 NA NA NA
"Clematis_virginiana" "Continental" "woody" "AM" "NA" -0.583312316 NA NA NA
"Cleyera_japonica" "Temperate" "woody" "NA" "NA" 0.182710987 -0.502674652 0.247615615 -0.315431569
"Clinopodium_nepeta" "NA" "non-woody" "NA" "NA" 0.029640167 -0.288058743 0.396979769 -0.336726184
"Clitoria_javitensis" "Tropical" "woody" "NA" "Rhizobia" 0.004893703 0.068129071 -0.135854015 0.520759614
"Cnidoscolus_aconitifolius" "Tropical" "woody" "NA" "NA" 0.414920355 0.231242668 -0.689188383 NA
"Coccoloba_manzinellensis" "Tropical" "woody" "NA" "NA" -0.131022211 -0.32277341 0.876140784 -0.497285849
"Coccoloba_parimensis" "Tropical" "woody" "NA" "NA" 0.013222531 -0.386855479 0.694578931 -0.128537281
"Coccoloba_uvifera" "Tropical" "woody" "NA" "NA" 0.200720005 -0.562728654 0.776835422 -0.465882787
"Cocos_nucifera" "Tropical" "woody" "NA" "NA" -0.473813759 -0.093907719 NA NA
"Coffea_arabica" "Temperate" "woody" "NA" "NA" -0.02015525 0.02046414 NA 0.006432686
"Colobanthus_acicularis" "Temperate" "non-woody" "NA" "NA" 0.058376945 NA NA 0.282870195
"Cologania_angustifolia" "Temperate" "non-woody" "NA" "Rhizobia" 0.133870354 NA NA NA
"Comandra_umbellata" "Arid" "non-woody" "NA" "NA" -0.624630684 0.361096398 0.153112316 NA
"Comarum_palustre" "Polar" "non-woody" "NA" "NA" NA NA NA -0.392480063
"Combretum_collinum" "Temperate" "woody" "NA" "NA" 0.057300317 -0.176032939 0.131633263 NA
"Combretum_decandrum" "Tropical" "woody" "NA" "NA" -0.094727137 -0.025974097 0.247358572 -0.534049228
"Combretum_glutinosum" "Arid" "woody" "NA" "NA" NA NA NA -0.07915177
"Convallaria_majalis" "NA" "non-woody" "NM-AM" "NA" -0.232286907 0.731478534 -0.837607507 -0.433170607
"Convolvulus_arvensis" "Temperate" "non-woody" "NA" "NA" -0.223367977 NA NA 0.282965556
"Coprosma_ciliata" "Temperate" "woody" "AM" "NA" 0.880042808 -1.094088054 0.397120351 0.09296076
"Coprosma_foetidissima" "Temperate" "woody" "AM" "NA" 0.374439281 -0.127760863 -0.308046197 -0.24410352
"Coprosma_linariifolia" "NA" "woody" "AM" "NA" -0.091146305 0.026244409 0.147895662 -0.177598904
"Coprosma_lucida" "Temperate" "woody" "AM" "NA" -0.002487543 0.179712679 -0.174909659 0.600328903
"Coprosma_macrocarpa" "Temperate" "woody" "NA" "NA" 0.165787133 NA NA -0.047884471
"Coprosma_petriei" "Temperate" "woody" "NA" "NA" NA NA 0.490966488 NA
"Coprosma_rhamnoides" "Temperate" "woody" "AM" "NA" 1.26451693 -1.094088054 -0.379450249 0.325469425
"Cordia_alliodora" "Tropical" "woody" "NA" "NA" -0.652719482 -0.017942935 0.533904146 0.696309318
"Coreopsis_palmata" "NA" "non-woody" "NA" "NA" -0.03670966 0.046547771 -0.571584978 -0.108283037
"Coreopsis_tinctoria" "Temperate" "non-woody" "NA" "NA" -0.281645336 NA NA 0.341300036
"Coriaria_arborea" "Temperate" "woody" "AM" "Frankia" 0.034298378 -0.405681776 0.839506217 1.172666639
"Coriaria_nepalensis" "NA" "woody" "NA" "Frankia" -0.772828168 0.80558487 0.063495701 0.586828232
"Corispermum_heptapotamicum" "Arid" "non-woody" "NA" "NA" 0.52990499 NA NA -1.018626288
"Corispermum_mongolicum" "Continental" "non-woody" "NA" "NA" 0.209932538 NA NA -0.804465318
"Corispermum_puberulum" "Arid" "non-woody" "NA" "NA" -0.123259446 NA NA NA
"Cornus_amomum" "NA" "woody" "NA" "NA" -0.262403254 NA 0.496967754 -0.322240588
"Cornus_bretschneideri" "Temperate" "woody" "AM" "NA" -0.019583132 -0.021623793 0.120847475 -0.483217668
"Cornus_controversa" "NA" "woody" "AM" "NA" -1.303168406 1.427058835 0.018254047 -0.122597211
"Cornus_florida" "NA" "woody" "AM" "NA" 0.057790789 -0.097563029 -0.172734274 -0.329065997
"Cornus_kousa" "NA" "woody" "AM" "NA" -0.422397311 0.570955313 -0.22790385 -0.39921898
"Cornus_officinalis" "Temperate" "woody" "EcM-AM" "NA" -0.604775831 0.69706815 0.545589053 -0.515603959
"Cornus_suecica" "Polar" "non-woody" "NA" "NA" NA NA NA -0.429443779
"Cornus_ulotricha" "NA" "woody" "AM" "NA" -1.373840223 1.321534944 0.365406603 -0.274784503
"Coronilla_juncea" "Arid" "woody" "NA" "Rhizobia" -0.174865285 -0.532939327 -0.08594212 NA
"Coronilla_minima" "Temperate" "non-woody" "NA" "Rhizobia" -0.424053764 0.580578939 -0.410965736 0.989656483
"Corylus_americana" "Continental" "woody" "NA" "NA" -0.077524837 NA NA -0.108283037
"Corylus_ferox" "NA" "woody" "EcM" "NA" -0.225702725 -0.062425655 0.549435691 0.108127319
"Corylus_sieboldiana" "NA" "woody" "EcM" "NA" 0.224621164 -0.388521158 0.228234521 0.043748178
"Corymbia_citriodora" "Temperate" "woody" "EcM" "NA" NA NA NA -0.480955784
"Corynocarpus_laevigatus" "NA" "woody" "AM" "NA" -0.053876552 0.105295545 -0.09050009 1.329711163
"Cosmos_parviflorus" "Temperate" "non-woody" "NA" "NA" 0.649983775 NA NA 0.388282516
"Cotinus_szechuanensis" "Temperate" "woody" "NA" "NA" 0.523408125 NA NA -0.285919131
"Cotoneaster_acutifolius" "NA" "woody" "AM" "NA" 0.060427469 -0.406436751 0.592219477 -0.331456747
"Cotoneaster_adpressus" "NA" "woody" "AM" "NA" -0.043369069 -0.122817678 0.257761037 -0.544650006
"Cotoneaster_multiflorus" "NA" "woody" "AM" "NA" 0.308029038 -0.215771285 -0.235060302 0.13721034
"Couroupita_guianensis" "Tropical" "woody" "NA" "NA" -0.260168453 0.289515301 0.005074565 -0.468692514
"Crataegus_monogyna" "Temperate" "woody" "NA" "NA" 0.004189276 0.036312126 0.167754357 NA
"Crataegus_pinnatifida" "NA" "woody" "EcM" "NA" 0.077849272 -0.324071285 0.4441375 -0.408781789
"Cratoxylum_cochinchinense" "Temperate" "woody" "AM" "NA" -0.099635786 -1.70116878 0.736699983 -1.184761536
"Crepis_biennis" "NA" "non-woody" "NA" "NA" -0.270122015 0.637535043 -0.512043484 -0.551371145
"Crepis_capillaris" "NA" "non-woody" "NA" "NA" -0.246923291 NA NA -0.300462039
"Crepis_foetida" "NA" "non-woody" "NA" "NA" 0.33115676 0.073265295 -0.503395513 0.34559215
"Crepis_sancta" "NA" "non-woody" "AM" "NA" 0.477651424 -0.168740947 -0.617436107 0.345582381
"Crepis_tectorum" "NA" "non-woody" "NA" "NA" 0.224414991 0.093440494 -0.725779329 NA
"Cryptocarya_chinensis" "Tropical" "woody" "NA" "NA" -0.811412306 1.168245682 0.035971055 0.356343278
"Cryptocarya_concinna" "Temperate" "woody" "AM" "NA" -0.520084973 0.531639009 0.250965585 0.347952144
"Cryptomeria_japonica" "NA" "woody" "AM" "NA" -0.434284596 0.645958526 -0.321234042 -0.469951144
"Cucumis_sativus" "NA" "non-woody" "NA" "NA" -0.058849922 0.009054331 0.07842828 NA
"Cucurbita_foetidissima" "NA" "non-woody" "NA" "NA" -0.254004299 0.017490359 0.508715536 NA
"Cunninghamia_lanceolata" "Temperate" "woody" "NA" "NA" -0.461705065 0.247591283 -0.079731144 -0.017605176
"Cupressus_arizonica" "NA" "woody" "NA" "NA" 0.236153204 NA NA NA
"Cupressus_funebris" "Temperate" "woody" "NA" "NA" -0.023307025 0.018772633 NA NA
"Cupressus_lusitanica" "Temperate" "woody" "NA" "NA" NA NA NA 0.103966872
"Cyclobalanopsis_glauca" "Temperate" "woody" "NA" "NA" 0.153118661 -0.379346206 0.539461577 0.035021997
"Cyclobalanopsis_gracilis" "Temperate" "woody" "NA" "NA" -0.215303593 0.083521823 0.485164322 0.020310146
"Cyclobalanopsis_myrsinifolia" "Temperate" "woody" "NA" "NA" 0.269719771 -0.245429434 -0.211678178 0.584089175
"Cyclobalanopsis_patelliformis" "Tropical" "woody" "EcM" "NA" 0.130768109 -0.045068242 -0.242449301 -0.313599565
"Cydonia_oblonga" "Temperate" "woody" "NA" "NA" -0.044123644 -0.08471956 0.58758284 NA
"Cymbaria_dahurica" "Continental" "non-woody" "NA" "NA" NA 0.174734964 NA NA
"Cymbopogon_obtectus" "NA" "non-woody" "NA" "NA" NA 0.541714616 0.45807279 -0.203765991
"Cynanchum_thesioides" "Continental" "non-woody" "NA" "NA" 0.101435251 NA NA -0.356216433
"Cynara_cardunculus" "NA" "non-woody" "NA" "NA" 0.090254902 0.008821982 -0.267070515 NA
"Cynosurus_cristatus" "NA" "non-woody" "NA" "NA" 0.43293134 -0.47396041 -0.412435116 -0.423129619
"Cyperus_difformis" "Temperate" "non-woody" "NA" "NA" 0.329501381 0.387558767 NA -0.993600855
"Cytisus_balansae" "Temperate" "woody" "NA" "Rhizobia" NA NA NA 1.044308854
"Cytisus_grandiflorus" "Temperate" "woody" "NA" "Rhizobia" -0.790007878 0.888992006 0.348125034 NA
"Dacrycarpus_dacrydioides" "NA" "woody" "AM" "NA" -0.263082673 0.140590847 0.282368098 -0.153681891
"Dacrycarpus_imbricatus" "Tropical" "woody" "AM" "NA" 0.051213203 -0.086124531 0.030600344 -0.567685645
"Dacrydium_cupressinum" "NA" "woody" "AM" "NA" -0.050087877 -0.099160701 0.245527875 -0.225319883
"Dacrydium_gracile" "Tropical" "woody" "AM" "NA" -0.040107591 -0.001863395 0.101745375 NA
"Dacrydium_pectinatum" "Tropical" "woody" "AM" "NA" -0.111801178 0.046144485 0.079217124 NA
"Dacryodes_excelsa" "Tropical" "woody" "NA" "NA" NA NA NA 0.492236073
"Dacryodes_rugosa" "Tropical" "woody" "NA" "NA" -1.641184528 1.363517114 0.581510838 NA
"Dactylis_glomerata" "NA" "non-woody" "NA" "NA" 0.18652465 -0.329740315 0.129921562 0.012730391
"Dactyloctenium_australe" "NA" "non-woody" "NA" "NA" NA -1.183974118 0.635683525 0.064673652
"Dalbergia_hupeana" "Temperate" "woody" "NA" "Rhizobia" 0.194943381 0.019156332 -0.94434959 0.99020331
"Dalea_candida" "NA" "non-woody/woody" "NA" "Rhizobia" -0.16744514 0.659300051 -0.438025836 0.892593219
"Dalea_polygonoides" "Temperate" "non-woody" "NA" "Rhizobia" 0.380961143 NA NA NA
"Dalea_purpurea" "NA" "non-woody/woody" "NA" "Rhizobia" -0.063184136 0.465921372 -0.400623701 0.082355794
"Dalea_villosa" "Continental" "non-woody/woody" "NA" "Rhizobia" -0.261546946 NA NA 0.098273487
"Danthonia_intermedia" "Arid" "non-woody" "NA" "NA" -1.116000432 0.613465153 0.965587037 NA
"Daphniphyllum_oldhamii" "Temperate" "woody" "NA" "NA" -0.356291256 0.631656062 -0.430017348 0.297896968
"Daphniphyllum_pentandrum" "NA" "woody" "AM" "NA" -0.280360458 0.053154989 0.431233964 -0.288008192
"Daucus_carota" "NA" "non-woody" "NA" "NA" 0.034696786 -0.249913684 0.796087872 0.011477915
"Decaspermum_gracilentum" "Tropical" "woody" "AM" "NA" 0.374905781 -1.307605148 0.771966575 -0.425863172
"Delphinium_nuttallianum" "Continental" "non-woody" "NA" "NA" 0.301680288 -0.068485151 NA NA
"Dendrocalamus_strictus" "Temperate" "woody" "NA" "NA" NA NA NA -0.098900889
"Dendropanax_dentiger" "NA" "woody" "AM" "NA" 0.605119015 -1.142552695 1.0729828 0.014667704
"Deschampsia_cespitosa" "NA" "non-woody" "NA" "NA" 0.298004236 -0.206714266 -0.148265785 0.087019064
"Deschampsia_flexuosa" "Polar" "non-woody" "NA" "NA" NA NA NA 0.576272792
"Descurainia_sophia" "Arid" "non-woody" "NA" "NA" 0.555290081 -1.110975436 0.66492127 NA
"Desmanthus_illinoensis" "NA" "non-woody/woody" "NA" "Rhizobia" -0.351760771 0.076968424 0.602738703 NA
"Desmodium_canadense" "NA" "non-woody" "NA" "Rhizobia" -0.016509082 0.093440494 -0.725779329 1.110323283
"Desmodium_illinoense" "NA" "non-woody" "NA" "Rhizobia" NA 0.229219308 NA NA
"Deutzia_glabrata" "NA" "woody" "AM" "NA" 0.577358552 -0.563890697 -0.178786506 0.215816746
"Deutzia_grandiflora" "NA" "woody" "AM" "NA" 0.118858673 0.2162292 -0.626934946 -0.107174703
"Deyeuxia_avenoides" "Temperate" "non-woody" "NA" "NA" NA NA 0.368522397 NA
"Dichanthelium_acuminatum" "NA" "non-woody" "NA" "NA" 0.651712075 -0.682167917 -0.074732692 NA
"Dichrostachys_cinerea" "Tropical" "woody" "NA" "Rhizobia" NA NA NA 1.010093338
"Diervilla_lonicera" "NA" "woody" "NA" "NA" 0.507149776 NA 0.354074561 -0.068092662
"Digitalis_purpurea" "NA" "non-woody" "NA" "NA" 0.194193468 NA NA NA
"Digitaria_bicornis" "NA" "non-woody" "NA" "NA" NA -0.09518575 0.676911399 -0.568270472
"Digitaria_longiflora" "NA" "non-woody" "NA" "NA" NA -0.09518575 0.45807279 0.499137551
"Digitaria_setigera" "Temperate" "non-woody" "NA" "NA" -0.097811638 -0.19074007 NA 0.434188567
"Diheteropogon_filifolius" "NA" "non-woody" "NA" "NA" NA -0.09518575 0.481489173 0.095393091
"Dioscorea_nipponica" "NA" "non-woody" "AM" "NA" 0.723314709 -0.418841866 -0.798380044 -0.460294001
"Diospyros_digyna" "Tropical" "woody" "NA" "NA" -0.042675043 0.594486509 -0.472522234 -0.06668171
"Diospyros_strigosa" "Temperate" "woody" "AM" "NA" -0.237532592 0.184034909 0.203849876 -0.833011198
"Diospyros_virginiana" "NA" "woody" "AM" "NA" -0.152276571 0.301677354 -0.307701649 -0.044624855
"Diplachne_parviflora" "NA" "non-woody" "NA" "NA" NA -0.09518575 0.635683525 -0.064171633
"Diplospora_dubia" "NA" "woody" "AM" "NA" -0.086000298 0.210776681 -0.275158501 0.096614183
"Dirca_palustris" "NA" "woody" "NA" "NA" 0.37845823 NA 1.008712751 -0.655149229
"Dodonaea_viscosa" "Tropical" "woody" "NA" "NA" 0.416078356 -0.298675024 0.015132384 -0.502915313
"Doellingeria_scabra" "NA" "non-woody" "AM" "NA" 0.592225299 -0.346582692 -0.613955315 0.014144595
"Doellingeria_umbellata" "NA" "non-woody" "AM" "NA" -0.44802198 0.727315014 NA NA
"Dovyalis_abyssinica" "Temperate" "woody" "NA" "NA" -0.047273246 0.070333581 -0.112849179 NA
"Draba_asprella" "Temperate" "non-woody" "NA" "NA" -0.021162322 NA NA 1.006675811
"Draba_nemorosa" "Arid" "non-woody" "NA" "NA" 0.889405142 -1.008936326 0.739988635 NA
"Dracophyllum_longifolium" "NA" "woody" "AM" "NA" 1.110111958 -1.430148416 0.369242339 -0.779900533
"Drymaria_leptophylla" "Temperate" "non-woody" "NA" "NA" 0.880217355 NA NA -1.07380457
"Drymaria_molluginea" "Temperate" "non-woody" "NA" "NA" 0.677893453 NA NA -0.704491765
"Drypetes_glauca" "Arid" "woody" "NA" "NA" NA NA NA -0.015457003
"Duchesnea_indica" "NA" "non-woody" "AM" "NA" 0.542506043 -0.482380946 -0.292599142 -0.46099248
"Dupontia_fisheri" "Polar" "non-woody" "NA" "NA" NA -2.003764437 NA NA
"Durio_zibethinus" "Tropical" "woody" "NA" "NA" -0.990570764 1.015540421 NA NA
"Dysoxylum_excelsum" "Temperate" "woody" "AM" "NA" -0.836815255 1.249952535 -0.531941839 0.532485519
"Dysoxylum_spectabile" "NA" "woody" "AM" "NA" -0.872745913 0.964993575 0.015817856 0.481020346
"Dysphania_aristata" "Arid" "non-woody" "NA" "NA" 0.689002946 NA NA -0.817660367
"Echeandia_flavescens" "Temperate" "non-woody" "NA" "NA" 0.608403076 NA NA -1.179051993
"Echinacea_angustifolia" "NA" "non-woody" "NA" "NA" -0.076216022 0.048997233 0.080297839 NA
"Echinacea_atrorubens" "NA" "non-woody" "NA" "NA" -0.586792727 0.194759094 0.778786619 NA
"Echinacea_pallida" "NA" "non-woody" "NA" "NA" -0.251919453 0.137491936 0.281478026 NA
"Echinochloa_crusgalli" "Continental" "non-woody" "NA" "NA" 0.519329368 NA NA -1.596855696
"Echinodorus_berteroi" "NA" "non-woody" "NA" "NA" -0.975424373 0.79919911 0.558021482 NA
"Eclipta_prostrata" "Temperate" "non-woody" "NA" "NA" -0.21355361 0.305859296 NA 0.095588417
"Ekebergia_capensis" "Temperate" "woody" "NA" "NA" -0.318428797 0.348254493 0.131633263 NA
"Elaeagnus_angustifolia" "NA" "woody" "NA" "Frankia" -0.195828848 0.43949972 -0.239320686 0.424933339
"Elaeagnus_commutata" "NA" "woody" "NA" "Frankia" -0.557530996 0.698524811 0.458158978 1.155968363
"Elaeagnus_multiflora" "NA" "woody" "NA" "Frankia" -0.168744429 NA -0.623288886 1.597390082
"Elaeagnus_stellipila" "Temperate" "woody" "NA" "Frankia" 0.313053909 NA NA 1.097224184
"Elaeagnus_umbellata" "NA" "woody" "NA" "Frankia" -0.110154364 NA -0.483803128 1.640430047
"Elaeocarpus_decipiens" "Temperate" "woody" "NA" "NA" -0.149325027 0.278716171 -0.119332999 0.243901366
"Elaeocarpus_dentatus" "NA" "woody" "AM" "NA" 0.063770714 0.121783561 -0.332558907 NA
"Elaeocarpus_dubius" "NA" "woody" "AM" "NA" 0.134701955 -0.210815434 0.521312365 -0.11427327
"Elaeocarpus_glabripetalus" "Temperate" "woody" "AM" "NA" 0.122885179 -0.257671322 0.191133994 -0.353312253
"Elaeocarpus_hookerianus" "NA" "woody" "AM" "NA" 0.200039673 -0.400610415 0.309941196 -0.016939598
"Elaeocarpus_sylvestris" "Tropical" "woody" "NA" "NA" 0.433024573 -1.009176571 0.642566583 -0.049510318
"Eleocharis_acuta" "Temperate" "non-woody" "NA" "NA" NA NA 0.154453436 NA
"Eleocharis_pusilla" "Temperate" "non-woody" "NA" "NA" NA NA -0.175032218 NA
"Eleusine_indica" "NA" "non-woody" "NA" "NA" 1.073545531 -1.259055327 0.114029368 NA
"Eleutherococcus_senticosus" "NA" "woody" "AM" "NA" 0.503605378 -0.251397898 -0.594571021 1.252418629
"Elionurus_muticus" "NA" "non-woody" "NA" "NA" NA 0.993602617 0.228534969 -0.523623494
"Elymus_canadensis" "NA" "non-woody" "NA" "NA" 0.028026313 -0.421267415 -0.093755315 0.161945469
"Elymus_elymoides" "Temperate" "non-woody" "NA" "NA" -0.007544153 NA NA -0.031572677
"Elymus_hondae" "Continental" "non-woody" "NA" "NA" NA -1.320672501 -0.156395818 NA
"Elymus_lanceolatus" "Arid" "non-woody" "NA" "NA" 0.151095053 -0.225805584 0.031877914 NA
"Elymus_repens" "NA" "non-woody" "NA" "NA" 0.140495917 -0.092992998 -0.103043859 0.402751954
"Elymus_riparius" "NA" "non-woody" "AM" "NA" -0.029185936 -0.503543737 NA NA
"Elymus_scabrus" "NA" "non-woody" "NA" "NA" NA -0.09518575 0.228534969 0.212926425
"Elymus_smithii" "Continental" "non-woody" "NA" "NA" NA NA NA -0.052640627
"Elymus_trachycaulus" "Temperate" "non-woody" "NA" "NA" 0.228469404 NA NA -0.390129481
"Elymus_villosus" "NA" "non-woody" "NA" "NA" 0.532200992 -0.870789999 0.52534386 NA
"Elymus_virginicus" "NA" "non-woody" "NA" "NA" 0.41337746 -0.551654417 0.037935402 NA
"Embelia_vestita" "NA" "woody" "AM" "NA" 0.016259293 -0.372441437 0.619073311 -0.532362276
"Empetrum_nigrum" "Polar" "woody" "NA" "NA" NA NA NA -0.112916998
"Encelia_frutescens" "NA" "woody" "NA" "NA" -0.40002473 NA NA NA
"Endlicheria_melinonii" "Tropical" "woody" "NA" "NA" -0.650336586 1.253206113 -0.607902336 NA
"Endospermum_chinense" "Tropical" "woody" "NA" "NA" -0.300166665 0.595398312 -0.271488412 0.269867304
"Engelhardia_roxburghiana" "NA" "woody" "EcM" "NA" 0.510231461 -1.03497676 0.640646825 0.183244054
"Enneapogon_polyphyllus" "NA" "non-woody" "NA" "NA" NA 1.630502983 -0.043824368 -0.568270472
"Enterolobium_cyclocarpum" "Tropical" "woody" "NA" "Rhizobia" 0.333436668 0.150604718 -0.829998821 0.048263907
"Ephedra_fragilis" "Arid" "woody" "NA" "NA" -0.760573372 0.291188307 -0.280588006 NA
"Epilobium_brachycarpum" "Temperate" "non-woody" "NA" "NA" 0.396179804 NA NA 0.090452727
"Epilobium_parviflorum" "NA" "non-woody" "NA" "NA" 0.20582647 -0.213036956 -0.159548403 NA
"Epilobium_porphyrium" "Temperate" "non-woody" "NA" "NA" 0.48413798 NA NA -0.414217362
"Eragrostis_capensis" "NA" "non-woody" "NA" "NA" NA 0.117114372 0.17476747 0.025874118
"Eragrostis_cumingii" "NA" "non-woody" "NA" "NA" NA 0.541714616 -0.421155401 0.68030467
"Eragrostis_curvula" "NA" "non-woody" "NA" "NA" NA 0.480043828 0.216335118 0.107158804
"Eragrostis_mexicana" "Temperate" "non-woody" "NA" "NA" 0.738404331 NA NA -0.486241473
"Eragrostis_minor" "Arid" "non-woody" "NA" "NA" 0.39006882 NA NA -0.862158998
"Eragrostis_pectinacea" "NA" "non-woody" "NA" "NA" 0.630864912 -0.787982865 0.160127718 NA
"Eragrostis_superba" "NA" "non-woody" "NA" "NA" NA 0.223264433 0.579200286 0.248011043
"Eragrostis_trichodes" "NA" "non-woody" "NA" "NA" -0.118333628 -0.663425751 1.420194345 NA
"Eriachne_aristidea" "NA" "non-woody" "NA" "NA" NA 2.267403349 -0.464844997 -0.240562251
"Eriachne_ciliata" "NA" "non-woody" "NA" "NA" NA 1.487308583 0.218832403 -0.997300954
"Eriachne_obtusa" "NA" "non-woody" "NA" "NA" NA 0.449208433 -0.452848886 -1.129747298
"Erica_arborea" "Temperate" "woody" "NA" "NA" 0.241556821 -0.160183547 0.067676118 NA
"Erica_scoparia" "Temperate" "woody" "NA" "NA" 0.491497847 -0.764145684 NA NA
"Ericameria_linearifolia" "NA" "woody" "NA" "NA" 0.360519001 NA NA NA
"Erigeron_annuus" "NA" "non-woody" "NA" "NA" -0.063402729 -0.066315769 0.26450758 NA
"Erigeron_canadensis" "NA" "non-woody" "NA" "NA" 0.224414991 0.138973815 -0.725779329 NA
"Erigeron_divergens" "Temperate" "non-woody" "NA" "NA" -0.332968728 NA NA -0.137208115
"Erigeron_formosissimus" "Temperate" "non-woody" "NA" "NA" 0.075475494 NA NA 0.301260655
"Erigeron_glabellus" "Arid" "non-woody" "NA" "NA" -0.249020586 0.283182544 -0.134588404 NA
"Erigeron_pumilus" "Arid" "non-woody" "NA" "NA" 0.071014131 -0.517933521 -0.007600964 NA
"Erigeron_speciosus" "Continental" "non-woody" "NA" "NA" -0.287331995 0.148105299 NA 0.528954329
"Eriobotrya_japonica" "Temperate" "woody" "AM" "NA" 0.145667549 -0.17819366 0.663510095 -0.199054818
"Eriogonum_alatum" "Temperate" "non-woody" "NA" "NA" -0.709034536 NA NA -0.18663803
"Eriogonum_pharnaceoides" "Temperate" "non-woody" "NA" "NA" 0.019353217 NA NA -0.176816057
"Eriogonum_racemosum" "Temperate" "non-woody/woody" "NA" "NA" -0.185116189 NA NA -0.525375311
"Eriogonum_wrightii" "NA" "non-woody/woody" "NA" "NA" 0.83675096 NA NA NA
"Eriophorum_angustifolium" "Continental" "non-woody" "NA" "NA" NA 0.147509208 NA NA
"Eriophorum_vaginatum" "Continental" "non-woody" "NA" "NA" -0.245938545 0.190917265 NA -0.364347101
"Eriotheca_longitubulosa" "Tropical" "woody" "NA" "NA" 0.268373038 -0.126056337 -0.382303933 NA
"Eriotheca_surinamensis" "Tropical" "woody" "NA" "NA" 0.126654372 0.510844029 -0.559914668 NA
"Erithalis_fruticosa" "Tropical" "woody" "NA" "NA" 0.118887499 -0.277422039 0.286327504 -0.81502165
"Erodium_cicutarium" "Temperate" "non-woody" "NA" "NA" 0.148199401 -0.404355189 0.267291458 0.168305485
"Erophila_verna" "NA" "non-woody" "NA" "NA" 0.852655556 -1.028669039 0.033568395 NA
"Eruca_vesicaria" "NA" "non-woody" "NA" "NA" 0.495229528 -0.239136533 -0.625499996 NA
"Eryngium_yuccifolium" "NA" "non-woody" "NA" "NA" -0.269211841 0.527982242 -0.412844559 NA
"Erysimum_cheiranthoides" "NA" "non-woody" "NA" "NA" -0.086272451 -0.280472983 0.51910905 NA
"Erysimum_inconspicuum" "Arid" "non-woody" "NA" "NA" 1.086691094 -1.161691369 -0.063741813 NA
"Erythronium_grandiflorum" "Continental" "non-woody" "NA" "NA" 0.227808312 -0.372489036 NA NA
"Eschweilera_coriacea" "Tropical" "woody" "NA" "NA" -0.428932034 -0.077720536 0.356898865 NA
"Eucalyptus_grandis" "Temperate" "woody" "NA" "NA" -0.047521174 -0.098220665 NA -0.043539007
"Eucalyptus_urophylla" "Temperate" "woody" "EcM-AM" "NA" 0.730298801 -1.421984452 1.365361823 -1.907971055
"Eugenia_coffeifolia" "Tropical" "woody" "NA" "NA" -0.087793946 -1.11961618 0.809125212 NA
"Eulalia_aurea" "NA" "non-woody" "NA" "NA" NA 0.993602617 -0.111906074 -1.364206971
"Euonymus_alatus" "Temperate" "woody" "AM" "NA" 0.277761902 -0.653553289 0.490613606 0.319597142
"Euonymus_americanus" "NA" "woody" "NA" "NA" 0.11564851 NA -0.551884834 0.347400354
"Euonymus_bungeanus" "NA" "woody" "NA" "NA" 0.145130694 NA -0.239320686 0.110654273
"Euonymus_europaeus" "NA" "woody" "NA" "NA" -0.155584582 NA -0.418748296 0.067724678
"Euonymus_hamiltonianus" "NA" "woody" "NA" "NA" 0.018946734 NA -0.239320686 0.110654273
"Euonymus_verrucosus" "Continental" "woody" "AM" "NA" 0.333377288 -0.023809671 -0.431254071 0.422772658
"Eupatorium_altissimum" "NA" "non-woody" "NA" "NA" -0.239353184 0.453579842 -0.335603987 NA
"Eupatorium_purpureum" "NA" "non-woody" "NA" "NA" -0.070458051 0.30663026 -0.414085754 NA
"Euphorbia_arizonica" "Continental" "non-woody" "NA" "NA" 0.187283228 NA NA -0.102646392
