"file","n_shared_species","axes","obs","p_value","set"
"imputed_boot_018.rds",1218,"PC1-PC4",0.0604288099171583,0.0594,"oob_2x"
"imputed_boot_019.rds",1218,"PC1-PC4",0.0571994168659013,0.1102,"oob_2x"
"imputed_boot_020.rds",1218,"PC1-PC4",0.0603819294834286,0.0591,"oob_2x"
"imputed_boot_021.rds",1218,"PC1-PC4",0.0586139102952362,0.0852,"oob_2x"
"imputed_boot_022.rds",1218,"PC1-PC4",0.0572929097990354,0.1071,"oob_2x"
"imputed_boot_023.rds",1218,"PC1-PC4",0.058585073847007,0.0846,"oob_2x"
"imputed_boot_024.rds",1218,"PC1-PC4",0.0594315654889888,0.0717,"oob_2x"
"imputed_boot_025.rds",1218,"PC1-PC4",0.0578940908254066,0.0976,"oob_2x"
"imputed_boot_026.rds",1218,"PC1-PC4",0.0562767757040439,0.1327,"oob_2x"
"imputed_boot_027.rds",1218,"PC1-PC4",0.0597357248367596,0.0691,"oob_2x"
"imputed_boot_028.rds",1218,"PC1-PC4",0.0582866653384535,0.0891,"oob_2x"
"imputed_boot_029.rds",1218,"PC1-PC4",0.0554086230977118,0.1482,"oob_2x"
"imputed_boot_030.rds",1218,"PC1-PC4",0.0598073935631939,0.0677,"oob_2x"
"imputed_boot_031.rds",1218,"PC1-PC4",0.0589599507301224,0.0787,"oob_2x"
"imputed_boot_032.rds",1218,"PC1-PC4",0.05876502780899,0.0828,"oob_2x"
"imputed_boot_033.rds",1218,"PC1-PC4",0.0587511877033505,0.0818,"oob_2x"
"imputed_boot_034.rds",1218,"PC1-PC4",0.0592028804894384,0.0737,"oob_2x"
"imputed_boot_035.rds",1218,"PC1-PC4",0.0613086640343255,0.0498,"oob_2x"
"imputed_boot_036.rds",1218,"PC1-PC4",0.0578012763264941,0.0981,"oob_2x"
"imputed_boot_037.rds",1218,"PC1-PC4",0.0567860724197277,0.119,"oob_2x"
"imputed_boot_038.rds",1218,"PC1-PC4",0.057569744700925,0.1025,"oob_2x"
"imputed_boot_039.rds",1218,"PC1-PC4",0.0597831244863348,0.0697,"oob_2x"
"imputed_boot_040.rds",1218,"PC1-PC4",0.0574947352717227,0.1047,"oob_2x"
"imputed_boot_041.rds",1218,"PC1-PC4",0.0598103313326767,0.0661,"oob_2x"
"imputed_boot_042.rds",1218,"PC1-PC4",0.058026284187595,0.0946,"oob_2x"
"imputed_boot_043.rds",1218,"PC1-PC4",0.0578000935872122,0.0967,"oob_2x"
"imputed_boot_044.rds",1218,"PC1-PC4",0.0542439858143971,0.1772,"oob_2x"
"imputed_boot_045.rds",1218,"PC1-PC4",0.0564642834463787,0.125,"oob_2x"
"imputed_boot_046.rds",1218,"PC1-PC4",0.0565976755446366,0.1226,"oob_2x"
"imputed_boot_047.rds",1218,"PC1-PC4",0.0563932357344527,0.1259,"oob_2x"
"imputed_boot_048.rds",1218,"PC1-PC4",0.0573604011950266,0.1069,"oob_2x"
"imputed_boot_049.rds",1218,"PC1-PC4",0.056192889118977,0.1307,"oob_2x"
"imputed_boot_050.rds",1218,"PC1-PC4",0.0588429708653287,0.0813,"oob_2x"
